"epoch","MLconv[R=100]-ResNet101-CIFAR10-25 - _step","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - _step","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=75]-ResNet101-CIFAR10-25 - _step","LR[K=75]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=75]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=300]-ResNet101-CIFAR10-25 - _step","LR[K=300]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=300]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - _step","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - _step","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - _step","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MAX","ResNet101-CIFAR10-25 - _step","ResNet101-CIFAR10-25 - _step__MIN","ResNet101-CIFAR10-25 - _step__MAX","ResNet101-CIFAR10-25 - val_accuracy","ResNet101-CIFAR10-25 - val_accuracy__MIN","ResNet101-CIFAR10-25 - val_accuracy__MAX"
"1","2","2","2","12.2","12.2","12.2","2","2","2","10.15","10.15","10.15","2","2","2","10","10","10","2","2","2","10.15","10.15","10.15","2","2","2","11.51","11.51","11.51","2","2","2","12.19","12.19","12.19","2","2","2","10.09","10.09","10.09","2","2","2","14.38","14.38","14.38"
"2","4","4","4","12.84","12.84","12.84","4","4","4","17.86","17.86","17.86","4","4","4","9.95","9.95","9.95","4","4","4","10.99","10.99","10.99","4","4","4","19.2","19.2","19.2","4","4","4","20.56","20.56","20.56","4","4","4","15.46","15.46","15.46","4","4","4","20.75","20.75","20.75"
"3","6","6","6","20.09","20.09","20.09","6","6","6","28.51","28.51","28.51","6","6","6","18.98","18.98","18.98","6","6","6","16.16","16.16","16.16","6","6","6","30.07","30.07","30.07","6","6","6","21.2","21.2","21.2","6","6","6","16.52","16.52","16.52","6","6","6","24.96","24.96","24.96"
"4","8","8","8","22.1","22.1","22.1","8","8","8","37.51","37.51","37.51","8","8","8","24.65","24.65","24.65","8","8","8","17.21","17.21","17.21","8","8","8","37.58","37.58","37.58","8","8","8","22.05","22.05","22.05","8","8","8","23.47","23.47","23.47","8","8","8","28.8","28.8","28.8"
"5","10","10","10","26.53","26.53","26.53","10","10","10","38.84","38.84","38.84","10","10","10","23.93","23.93","23.93","10","10","10","22.29","22.29","22.29","10","10","10","42.31","42.31","42.31","10","10","10","26.19","26.19","26.19","10","10","10","25.97","25.97","25.97","10","10","10","30.04","30.04","30.04"
"6","12","12","12","28.75","28.75","28.75","12","12","12","43.65","43.65","43.65","12","12","12","27.03","27.03","27.03","12","12","12","24.54","24.54","24.54","12","12","12","12.71","12.71","12.71","12","12","12","24.78","24.78","24.78","12","12","12","29.86","29.86","29.86","12","12","12","32.83","32.83","32.83"
"7","14","14","14","32.12","32.12","32.12","14","14","14","48.07","48.07","48.07","14","14","14","28.79","28.79","28.79","14","14","14","26.52","26.52","26.52","14","14","14","49.18","49.18","49.18","14","14","14","28.35","28.35","28.35","14","14","14","35.73","35.73","35.73","14","14","14","30.47","30.47","30.47"
"8","16","16","16","36.64","36.64","36.64","16","16","16","45.66","45.66","45.66","16","16","16","28.77","28.77","28.77","16","16","16","27.04","27.04","27.04","16","16","16","48.15","48.15","48.15","16","16","16","29.88","29.88","29.88","16","16","16","38.56","38.56","38.56","16","16","16","26.85","26.85","26.85"
"9","18","18","18","35.58","35.58","35.58","18","18","18","47.21","47.21","47.21","18","18","18","26.81","26.81","26.81","18","18","18","25.8","25.8","25.8","18","18","18","52.12","52.12","52.12","18","18","18","32.86","32.86","32.86","18","18","18","43.04","43.04","43.04","18","18","18","30.87","30.87","30.87"
"10","20","20","20","37.3","37.3","37.3","20","20","20","32.33","32.33","32.33","20","20","20","26.1","26.1","26.1","20","20","20","23.88","23.88","23.88","20","20","20","50.82","50.82","50.82","20","20","20","36.65","36.65","36.65","20","20","20","42.75","42.75","42.75","20","20","20","33.13","33.13","33.13"
"11","22","22","22","38.84","38.84","38.84","22","22","22","48.18","48.18","48.18","22","22","22","31.88","31.88","31.88","22","22","22","28.67","28.67","28.67","22","22","22","45.65","45.65","45.65","22","22","22","35.16","35.16","35.16","22","22","22","47.55","47.55","47.55","22","22","22","34.39","34.39","34.39"
"12","24","24","24","37.51","37.51","37.51","24","24","24","54.12","54.12","54.12","24","24","24","30.7","30.7","30.7","24","24","24","33.17","33.17","33.17","24","24","24","56.86","56.86","56.86","24","24","24","33.18","33.18","33.18","24","24","24","51","51","51","24","24","24","30.76","30.76","30.76"
"13","26","26","26","45.15","45.15","45.15","26","26","26","54.4","54.4","54.4","26","26","26","24.34","24.34","24.34","26","26","26","33.5","33.5","33.5","26","26","26","60.49","60.49","60.49","26","26","26","40.9","40.9","40.9","26","26","26","55.35","55.35","55.35","26","26","26","41.91","41.91","41.91"
"14","28","28","28","44","44","44","28","28","28","57.08","57.08","57.08","28","28","28","34.46","34.46","34.46","28","28","28","38.69","38.69","38.69","28","28","28","62.84","62.84","62.84","28","28","28","40.98","40.98","40.98","28","28","28","54.19","54.19","54.19","28","28","28","42.65","42.65","42.65"
"15","30","30","30","39.44","39.44","39.44","30","30","30","51.04","51.04","51.04","30","30","30","39.27","39.27","39.27","30","30","30","35.95","35.95","35.95","30","30","30","62.68","62.68","62.68","30","30","30","40.95","40.95","40.95","30","30","30","51.17","51.17","51.17","30","30","30","45.04","45.04","45.04"
"16","32","32","32","46.56","46.56","46.56","32","32","32","18.76","18.76","18.76","32","32","32","38.27","38.27","38.27","32","32","32","24.2","24.2","24.2","32","32","32","63.86","63.86","63.86","32","32","32","33.42","33.42","33.42","32","32","32","52.16","52.16","52.16","32","32","32","51.32","51.32","51.32"
"17","34","34","34","46.91","46.91","46.91","34","34","34","60","60","60","34","34","34","39.93","39.93","39.93","34","34","34","40.43","40.43","40.43","34","34","34","66.57","66.57","66.57","34","34","34","30.06","30.06","30.06","34","34","34","52.73","52.73","52.73","34","34","34","51.17","51.17","51.17"
"18","36","36","36","51.9","51.9","51.9","36","36","36","53.91","53.91","53.91","36","36","36","36.61","36.61","36.61","36","36","36","44.15","44.15","44.15","36","36","36","66.92","66.92","66.92","36","36","36","39.02","39.02","39.02","36","36","36","60.81","60.81","60.81","36","36","36","33.12","33.12","33.12"
"19","38","38","38","50.68","50.68","50.68","38","38","38","52.85","52.85","52.85","38","38","38","35.77","35.77","35.77","38","38","38","41.66","41.66","41.66","38","38","38","67.16","67.16","67.16","38","38","38","41.13","41.13","41.13","38","38","38","62.47","62.47","62.47","38","38","38","45.22","45.22","45.22"
"20","40","40","40","41.44","41.44","41.44","40","40","40","61.72","61.72","61.72","40","40","40","15.81","15.81","15.81","40","40","40","43.72","43.72","43.72","40","40","40","66.44","66.44","66.44","40","40","40","45.48","45.48","45.48","40","40","40","62.15","62.15","62.15","40","40","40","34.59","34.59","34.59"
"21","42","42","42","48.12","48.12","48.12","42","42","42","64.86","64.86","64.86","42","42","42","37.26","37.26","37.26","42","42","42","49.47","49.47","49.47","42","42","42","69.09","69.09","69.09","42","42","42","44.32","44.32","44.32","42","42","42","64.02","64.02","64.02","42","42","42","52.31","52.31","52.31"
"22","44","44","44","51.67","51.67","51.67","44","44","44","65.83","65.83","65.83","44","44","44","23.15","23.15","23.15","44","44","44","48.13","48.13","48.13","44","44","44","68.51","68.51","68.51","44","44","44","46.6","46.6","46.6","44","44","44","64.29","64.29","64.29","44","44","44","55.14","55.14","55.14"
