epoch,"original_LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","original_LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy",MTL[T=15]-ResNet101-CIFAR10 - _step,MTL[T=15]-ResNet101-CIFAR10 - _step__MIN,MTL[T=15]-ResNet101-CIFAR10 - _step__MAX,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy__MAX,LR[K=300]-ResNet101-CIFAR10 - _step,LR[K=300]-ResNet101-CIFAR10 - _step__MIN,LR[K=300]-ResNet101-CIFAR10 - _step__MAX,LR[K=300]-ResNet101-CIFAR10 - val_accuracy,LR[K=300]-ResNet101-CIFAR10 - val_accuracy__MIN,LR[K=300]-ResNet101-CIFAR10 - val_accuracy__MAX,MLconv[R=400]-ResNet101-CIFAR10 - _step,MLconv[R=400]-ResNet101-CIFAR10 - _step__MIN,MLconv[R=400]-ResNet101-CIFAR10 - _step__MAX,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy__MIN,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy__MAX,MTL[T=3]-ResNet101-CIFAR10 - _step,MTL[T=3]-ResNet101-CIFAR10 - _step__MIN,MTL[T=3]-ResNet101-CIFAR10 - _step__MAX,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy__MAX,MLconv[R=100]-ResNet101-CIFAR10 - _step,MLconv[R=100]-ResNet101-CIFAR10 - _step__MIN,MLconv[R=100]-ResNet101-CIFAR10 - _step__MAX,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy__MIN,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy__MAX,ResNet101-CIFAR10 - _step,ResNet101-CIFAR10 - _step__MIN,ResNet101-CIFAR10 - _step__MAX,ResNet101-CIFAR10 - val_accuracy,ResNet101-CIFAR10 - val_accuracy__MIN,ResNet101-CIFAR10 - val_accuracy__MAX,LR[K=75]-ResNet101-CIFAR10 - _step,LR[K=75]-ResNet101-CIFAR10 - _step__MIN,LR[K=75]-ResNet101-CIFAR10 - _step__MAX,LR[K=75]-ResNet101-CIFAR10 - val_accuracy,LR[K=75]-ResNet101-CIFAR10 - val_accuracy__MIN,LR[K=75]-ResNet101-CIFAR10 - val_accuracy__MAX,MTL[T=42]-ResNet101-CIFAR10 - _step,MTL[T=42]-ResNet101-CIFAR10 - _step__MIN,MTL[T=42]-ResNet101-CIFAR10 - _step__MAX,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy__MAX,"original_LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy",original_MTL[T=4]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=4]-Resnet101-CIFAR10 - best_val_accuracy,original_MTL[T=16]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=16]-Resnet101-CIFAR10 - best_val_accuracy,original_MTL[T=43]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=43]-Resnet101-CIFAR10 - best_val_accuracy
1,34.42,33.42,38.75,37.75,2,2,2,19.44,19.44,19.44,2,2,2,19.41,19.41,19.41,2,2,2,17.97,17.97,17.97,2,2,2,10.29,10.29,10.29,2,2,2,10.53,10.53,10.53,2,2,2,20.95,20.95,20.95,2,2,2,19.56,19.56,19.56,2,2,2,23.41,23.41,23.41,33.92,32.92,36.61,34.61,40.81,38.81,36.25,34.25
2,44.43,43.43,44.26,43.26,4,4,4,24.79,24.79,24.79,4,4,4,17.16,17.16,17.16,4,4,4,16.8,16.8,16.8,4,4,4,29.6,29.6,29.6,4,4,4,20.19,20.19,20.19,4,4,4,31.65,31.65,31.65,4,4,4,19.56,19.56,19.56,4,4,4,39.7,39.7,39.7,45.62,44.62,46.78,44.78,50.55,48.55,47.02,45.02
3,45.38,44.38,48.49,47.49,6,6,6,33.17,33.17,33.17,6,6,6,25.9,25.9,25.9,6,6,6,22.72,22.72,22.72,6,6,6,33.73,33.73,33.73,6,6,6,26.3,26.3,26.3,6,6,6,36.25,36.25,36.25,6,6,6,26.28,26.28,26.28,6,6,6,46.55,46.55,46.55,47.18,46.18,51.46,49.46,51.75,49.75,52.67,50.67
4,52.39,51.39,54.03,53.03,8,8,8,43.29,43.29,43.29,8,8,8,29.39,29.39,29.39,8,8,8,31.99,31.99,31.99,8,8,8,39.83,39.83,39.83,8,8,8,36.62,36.62,36.62,8,8,8,41.02,41.02,41.02,8,8,8,30.96,30.96,30.96,8,8,8,50.52,50.52,50.52,54.21,53.21,56.41,54.41,51.75,49.75,57.03,55.03
5,52.39,51.39,57.66,56.66,10,10,10,46.93,46.93,46.93,10,10,10,33.72,33.72,33.72,10,10,10,31.96,31.96,31.96,10,10,10,43.19,43.19,43.19,10,10,10,39.54,39.54,39.54,10,10,10,41.14,41.14,41.14,10,10,10,36.12,36.12,36.12,10,10,10,52.21,52.21,52.21,54.21,53.21,60.78,58.78,54.55,52.55,58.62,56.62
6,52.39,51.39,60.82,59.82,12,12,12,48.99,48.99,48.99,12,12,12,10,10,10,12,12,12,35.69,35.69,35.69,12,12,12,47.17,47.17,47.17,12,12,12,44.08,44.08,44.08,12,12,12,49.82,49.82,49.82,12,12,12,43.46,43.46,43.46,12,12,12,57.24,57.24,57.24,54.21,53.21,62.71,60.71,58.72,56.72,62.75,60.75
7,52.39,51.39,60.82,59.82,14,14,14,50.87,50.87,50.87,14,14,14,43.96,43.96,43.96,14,14,14,39.21,39.21,39.21,14,14,14,47.86,47.86,47.86,14,14,14,45.9,45.9,45.9,14,14,14,55.06,55.06,55.06,14,14,14,45.56,45.56,45.56,14,14,14,59.39,59.39,59.39,57.22,56.22,62.71,60.71,58.72,56.72,63.79,61.79
8,52.39,51.39,63.88,62.88,16,16,16,57.53,57.53,57.53,16,16,16,46.9,46.9,46.9,16,16,16,43.02,43.02,43.02,16,16,16,57.27,57.27,57.27,16,16,16,31.55,31.55,31.55,16,16,16,53.43,53.43,53.43,16,16,16,22.23,22.23,22.23,16,16,16,57.56,57.56,57.56,62.76,61.76,67.18,65.18,61.89,59.89,67.16,65.16
9,53.6,52.6,66.18,65.18,18,18,18,57.43,57.43,57.43,18,18,18,51.66,51.66,51.66,18,18,18,45.41,45.41,45.41,18,18,18,45.98,45.98,45.98,18,18,18,31.15,31.15,31.15,18,18,18,58.27,58.27,58.27,18,18,18,36.93,36.93,36.93,18,18,18,64.74,64.74,64.74,62.76,61.76,70.8,68.8,66.47,64.47,69.59,67.59
10,57.46,56.46,66.59,65.59,20,20,20,63.2,63.2,63.2,20,20,20,46.3,46.3,46.3,20,20,20,49.12,49.12,49.12,20,20,20,64.69,64.69,64.69,20,20,20,42.44,42.44,42.44,20,20,20,60.35,60.35,60.35,20,20,20,41.42,41.42,41.42,20,20,20,65.4,65.4,65.4,62.76,61.76,70.8,68.8,68.15,66.15,70.34,68.34
