"Name","num_params","best_val_accuracy","_wandb"
"MLconv[R=100]-ResNet101-CIFAR10-25","10298934","77.21",""
"LR-MTL[T=42,lambda_ce=0.70]-ResNet101-CIFAR10-25","29099640","80.63",""
"MTL[T=43]-ResNet101-CIFAR10-25","29938048","79.69",""
"MTL[T=42]-ResNet101-CIFAR10-25","30462026","79.11",""
"MLconv[R=200]-ResNet101-CIFAR10-25","20472034","77.61",""
"MLconv[R=300]-ResNet101-CIFAR10-25","30645134","76.77",""
"LR[K=75]-ResNet101-CIFAR10-25","10193009","74.31",""
"LR[K=150]-ResNet101-CIFAR10-25","20260184","74.11",""
"LR[K=229]-ResNet101-CIFAR10-25","30864275","73.01",""
"LR[K=260]-ResNet101-CIFAR10-25","35025374","71.51",""
"LR[K=300]-ResNet101-CIFAR10-25","40394534","72.17",""
"MLconv[R=345]-ResNet101-CIFAR10-25","35223029","76.11",""
"LR-MTL[T=15,lambda_ce=0.70]-ResNet101-CIFAR10-25","33741216","80.52",""
"MTL[T=16]-ResNet101-CIFAR10-25","34656424","80.01",""
"MTL[T=15]-ResNet101-CIFAR10-25","35180618","78.93",""
"MLconv[R=400]-ResNet101-CIFAR10-25","40818234","76.02",""
"LR-MTL[T=3,lambda_ce=0.70]-ResNet101-CIFAR10-25","39717458","80.18",""
"MTL[T=4]-ResNet101-CIFAR10-25","38326356","79.97",""
"MTL[T=3]-ResNet101-CIFAR10-25","40423498","78.83",""
"ResNet101-CIFAR10-25","42520650","78.4",""
