"Name","num_params","best_val_accuracy","_wandb"
"LR[K=229]-ResNet101-CIFAR10","30864275","78.03",""
"LR[K=150]-ResNet101-CIFAR10","20260184","79.16",""
"MLconv[R=200]-ResNet101-CIFAR10","20472034","82.32",""
"MTL[T=15]-ResNet101-CIFAR10","35180618","83.07",""
"MTL[T=16]-ResNet101-CIFAR10","34656424","84.23",""
"LR[K=300]-ResNet101-CIFAR10","40394534","78.07",""
"LR[K=260]-ResNet101-CIFAR10","35025374","75.75",""
"MLconv[R=400]-ResNet101-CIFAR10","40818234","79.73",""
"MTL[T=3]-ResNet101-CIFAR10","40423498","82.89",""
"MTL[T=4]-ResNet101-CIFAR10","38326356","84.49",""
"MLconv[R=100]-ResNet101-CIFAR10","10298934","80.88",""
"ResNet101-CIFAR10","42520650","83.01",""
"LR[K=75]-ResNet101-CIFAR10","10193009","79.28",""
"MLconv[R=345]-ResNet101-CIFAR10","35223029","80.67",""
"MLconv[R=300]-ResNet101-CIFAR10","30645134","80.31",""
"MTL[T=42]-ResNet101-CIFAR10","30462026","83.26",""
"MTL[T=43]-ResNet101-CIFAR10","29938048","84.69",""
"LR-MTL[T=42,lambda_ce=0.70]-ResNet101-CIFAR10","29248888","85.15",""
"LR-MTL[T=15,lambda_ce=0.70]-ResNet101-CIFAR10","34493344","84.83",""
"LR-MTL[T=3,lambda_ce=0.70]-ResNet101-CIFAR10","39731282","85.38",""
