"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0.00048","0.00048","0.00048","0.00808","0.00808","0.00808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00006","0.00006","0.00006","0.00002","0.00002","0.00002","0.00303","0.00303","0.00303"
"3","0.04232","0.04232","0.04232","0.02654","0.02654","0.02654","0.01125","0.01125","0.01125","0.05029","0.05029","0.05029","0.07857","0.07857","0.07857","0.02432","0.02432","0.02432","0.00233","0.00233","0.00233","0.00042","0.00042","0.00042","0.00007","0.00007","0.00007","0.03828","0.03828","0.03828"
"4","0.04984","0.04984","0.04984","0.08585","0.08585","0.08585","0.02719","0.02719","0.02719","0.01534","0.01534","0.01534","0.09082","0.09082","0.09082","0.02351","0.02351","0.02351","0.01177","0.01177","0.01177","0.00024","0.00024","0.00024","0.00019","0.00019","0.00019","0.11105","0.11105","0.11105"
"5","0.11533","0.11533","0.11533","0.09135","0.09135","0.09135","0","0","0","0.04775","0.04775","0.04775","0.11644","0.11644","0.11644","0.02556","0.02556","0.02556","0.02408","0.02408","0.02408","0","0","0","0.00014","0.00014","0.00014","0.08976","0.08976","0.08976"
"6","0.13618","0.13618","0.13618","0.11981","0.11981","0.11981","0.05836","0.05836","0.05836","0.0632","0.0632","0.0632","0.11519","0.11519","0.11519","0.06372","0.06372","0.06372","0.02235","0.02235","0.02235","0.00028","0.00028","0.00028","0.00121","0.00121","0.00121","0.11919","0.11919","0.11919"
"7","0.13139","0.13139","0.13139","0.14667","0.14667","0.14667","0.0896","0.0896","0.0896","0.07714","0.07714","0.07714","0.18362","0.18362","0.18362","0.08274","0.08274","0.08274","0.00218","0.00218","0.00218","0","0","0","0","0","0","0.13537","0.13537","0.13537"
"8","0.16024","0.16024","0.16024","0.16839","0.16839","0.16839","0.08249","0.08249","0.08249","0.05023","0.05023","0.05023","0.19968","0.19968","0.19968","0.10597","0.10597","0.10597","0.00372","0.00372","0.00372","0.00073","0.00073","0.00073","0.00074","0.00074","0.00074","0.19767","0.19767","0.19767"
"9","0.23655","0.23655","0.23655","0.19748","0.19748","0.19748","0.13242","0.13242","0.13242","0.09924","0.09924","0.09924","0.21077","0.21077","0.21077","0.11502","0.11502","0.11502","0.01327","0.01327","0.01327","0.00122","0.00122","0.00122","0.00158","0.00158","0.00158","0.17996","0.17996","0.17996"
"10","0.19546","0.19546","0.19546","0.25077","0.25077","0.25077","0.16094","0.16094","0.16094","0.08803","0.08803","0.08803","0.19095","0.19095","0.19095","0.16524","0.16524","0.16524","0","0","0","0.00077","0.00077","0.00077","0.00045","0.00045","0.00045","0.22543","0.22543","0.22543"
