"Step","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MAX","Resnet101-CIFAR10-25 - val_accuracy","Resnet101-CIFAR10-25 - val_accuracy__MIN","Resnet101-CIFAR10-25 - val_accuracy__MAX"
"1","11.48","11.48","11.48","10","10","10","11.99","11.99","11.99","10","10","10","14.36","14.36","14.36","17.81","17.81","17.81","13.61","13.61","13.61","10.01","10.01","10.01","11","11","11","13.39","13.39","13.39"
"2","15.89","15.89","15.89","14.21","14.21","14.21","19.41","19.41","19.41","13.52","13.52","13.52","15.58","15.58","15.58","19.65","19.65","19.65","14.97","14.97","14.97","13.41","13.41","13.41","11","11","11","21.42","21.42","21.42"
"3","17.99","17.99","17.99","18.89","18.89","18.89","19.73","19.73","19.73","17.23","17.23","17.23","35.22","35.22","35.22","19.72","19.72","19.72","23.62","23.62","23.62","24.67","24.67","24.67","19.13","19.13","19.13","27.41","27.41","27.41"
"4","20.08","20.08","20.08","18.35","18.35","18.35","25.11","25.11","25.11","19.43","19.43","19.43","39.46","39.46","39.46","20.39","20.39","20.39","30.33","30.33","30.33","28.55","28.55","28.55","28.44","28.44","28.44","33.93","33.93","33.93"
"5","10","10","10","26.14","26.14","26.14","29.63","29.63","29.63","18.18","18.18","18.18","42.92","42.92","42.92","29.25","29.25","29.25","29.55","29.55","29.55","34.29","34.29","34.29","36.71","36.71","36.71","31.43","31.43","31.43"
"6","14.86","14.86","14.86","30.33","30.33","30.33","33.76","33.76","33.76","20.58","20.58","20.58","43.86","43.86","43.86","32.14","32.14","32.14","42.73","42.73","42.73","38.1","38.1","38.1","37.2","37.2","37.2","40.22","40.22","40.22"
"7","22.9","22.9","22.9","30.19","30.19","30.19","31.51","31.51","31.51","21.7","21.7","21.7","48.33","48.33","48.33","39.15","39.15","39.15","45.47","45.47","45.47","44.73","44.73","44.73","42.71","42.71","42.71","42.23","42.23","42.23"
"8","19.69","19.69","19.69","31.85","31.85","31.85","40.22","40.22","40.22","20.63","20.63","20.63","49.72","49.72","49.72","35.3","35.3","35.3","46.52","46.52","46.52","43.79","43.79","43.79","42.33","42.33","42.33","41.94","41.94","41.94"
"9","26.6","26.6","26.6","34.18","34.18","34.18","37.24","37.24","37.24","15.36","15.36","15.36","52.41","52.41","52.41","38.45","38.45","38.45","50.27","50.27","50.27","48.01","48.01","48.01","45.57","45.57","45.57","48.61","48.61","48.61"
"10","27.29","27.29","27.29","32.01","32.01","32.01","37.77","37.77","37.77","23.97","23.97","23.97","55.1","55.1","55.1","43.16","43.16","43.16","52.28","52.28","52.28","52.05","52.05","52.05","47.87","47.87","47.87","44.33","44.33","44.33"
