"Step","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MAX","Resnet101-CIFAR10 - val_accuracy","Resnet101-CIFAR10 - val_accuracy__MIN","Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MAX"
"1","30.81","30.81","30.81","10.06","10.06","10.06","13.76","13.76","13.76","10.29","10.29","10.29","15.47","15.47","15.47","12.48","12.48","12.48","19.01","19.01","19.01","18.34","18.34","18.34","16.63","16.63","16.63","20.41","20.41","20.41"
"2","42.12","42.12","42.12","10.6","10.6","10.6","21.06","21.06","21.06","21.17","21.17","21.17","25.01","25.01","25.01","30.27","30.27","30.27","14.08","14.08","14.08","39.47","39.47","39.47","34.49","34.49","34.49","30.77","30.77","30.77"
"3","50.91","50.91","50.91","14.8","14.8","14.8","24.72","24.72","24.72","28.74","28.74","28.74","31.53","31.53","31.53","34.62","34.62","34.62","31.55","31.55","31.55","45.49","45.49","45.49","40.59","40.59","40.59","36.25","36.25","36.25"
"4","56.05","56.05","56.05","15.92","15.92","15.92","38.21","38.21","38.21","35.15","35.15","35.15","36.28","36.28","36.28","46.42","46.42","46.42","47.63","47.63","47.63","56.19","56.19","56.19","44.11","44.11","44.11","44.06","44.06","44.06"
"5","55.05","55.05","55.05","15.39","15.39","15.39","43.36","43.36","43.36","39.05","39.05","39.05","39.65","39.65","39.65","55.41","55.41","55.41","51.11","51.11","51.11","57.84","57.84","57.84","48.18","48.18","48.18","43.41","43.41","43.41"
"6","61.73","61.73","61.73","17.44","17.44","17.44","48.88","48.88","48.88","44.94","44.94","44.94","42.24","42.24","42.24","57","57","57","52.96","52.96","52.96","59.92","59.92","59.92","50.29","50.29","50.29","49.12","49.12","49.12"
"7","62.96","62.96","62.96","18.16","18.16","18.16","48.14","48.14","48.14","47.26","47.26","47.26","42.4","42.4","42.4","59.86","59.86","59.86","60.05","60.05","60.05","63.06","63.06","63.06","54.24","54.24","54.24","51.1","51.1","51.1"
"8","63.12","63.12","63.12","16.61","16.61","16.61","50.38","50.38","50.38","46.26","46.26","46.26","45.26","45.26","45.26","60.07","60.07","60.07","62.86","62.86","62.86","66.98","66.98","66.98","57.03","57.03","57.03","56.16","56.16","56.16"
"9","63.05","63.05","63.05","18.9","18.9","18.9","58.91","58.91","58.91","47.69","47.69","47.69","46.03","46.03","46.03","65.08","65.08","65.08","60.6","60.6","60.6","63.58","63.58","63.58","59.34","59.34","59.34","60.92","60.92","60.92"
"10","64.56","64.56","64.56","23.26","23.26","23.26","60.74","60.74","60.74","52.95","52.95","52.95","51.28","51.28","51.28","55.23","55.23","55.23","58.47","58.47","58.47","65.23","65.23","65.23","59.1","59.1","59.1","59.03","59.03","59.03"
