"Step","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00002","0.00002","0.00002","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0.00006","0.00006","0.00006","0","0","0","0","0","0","0.00418","0.00418","0.00418","0.01777","0.01777","0.01777","0.00003","0.00003","0.00003","0.0185","0.0185","0.0185","0.00004","0.00004","0.00004"
"4","0.02123","0.02123","0.02123","0.02353","0.02353","0.02353","0.08779","0.08779","0.08779","0.07028","0.07028","0.07028","0","0","0","0.05449","0.05449","0.05449","0.01583","0.01583","0.01583","0","0","0","0.02277","0.02277","0.02277","0.00005","0.00005","0.00005"
"5","0.02351","0.02351","0.02351","0.04889","0.04889","0.04889","0.07507","0.07507","0.07507","0.06662","0.06662","0.06662","0.01608","0.01608","0.01608","0.05271","0.05271","0.05271","0.05903","0.05903","0.05903","0.00001","0.00001","0.00001","0.0563","0.0563","0.0563","0.00001","0.00001","0.00001"
"6","0.01948","0.01948","0.01948","0.02539","0.02539","0.02539","0.08046","0.08046","0.08046","0.08207","0.08207","0.08207","0.02649","0.02649","0.02649","0.09127","0.09127","0.09127","0.09937","0.09937","0.09937","0.0001","0.0001","0.0001","0.10142","0.10142","0.10142","0.00004","0.00004","0.00004"
"7","0.02266","0.02266","0.02266","0.06234","0.06234","0.06234","0.08026","0.08026","0.08026","0.08438","0.08438","0.08438","0.02239","0.02239","0.02239","0.0842","0.0842","0.0842","0.09198","0.09198","0.09198","0","0","0","0.07785","0.07785","0.07785","0.00002","0.00002","0.00002"
"8","0.02517","0.02517","0.02517","0.05749","0.05749","0.05749","0.11412","0.11412","0.11412","0.1343","0.1343","0.1343","0.06156","0.06156","0.06156","0.08488","0.08488","0.08488","0.14738","0.14738","0.14738","0","0","0","0.18737","0.18737","0.18737","0","0","0"
"9","0.06231","0.06231","0.06231","0.08293","0.08293","0.08293","0.10087","0.10087","0.10087","0.08064","0.08064","0.08064","0.05845","0.05845","0.05845","0.10197","0.10197","0.10197","0.15419","0.15419","0.15419","0.00028","0.00028","0.00028","0.14377","0.14377","0.14377","0","0","0"
"10","0.07577","0.07577","0.07577","0.06885","0.06885","0.06885","0.17593","0.17593","0.17593","0.12118","0.12118","0.12118","0.06317","0.06317","0.06317","0.18382","0.18382","0.18382","0.17876","0.17876","0.17876","0.00021","0.00021","0.00021","0.15776","0.15776","0.15776","0","0","0"
