"Step","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0.00006","0.00006","0.00006","0.00002","0.00002","0.00002","0.00303","0.00303","0.00303","0","0","0","0.00378","0.00378","0.00378","0","0","0","0","0","0"
"3","0.02362","0.02362","0.02362","0.02432","0.02432","0.02432","0.00233","0.00233","0.00233","0.00042","0.00042","0.00042","0.00007","0.00007","0.00007","0.03828","0.03828","0.03828","0.03553","0.03553","0.03553","0.07701","0.07701","0.07701","0.06431","0.06431","0.06431","0","0","0"
"4","0.0084","0.0084","0.0084","0.02351","0.02351","0.02351","0.01177","0.01177","0.01177","0.00024","0.00024","0.00024","0.00019","0.00019","0.00019","0.11105","0.11105","0.11105","0.12022","0.12022","0.12022","0.06018","0.06018","0.06018","0.10239","0.10239","0.10239","0.04445","0.04445","0.04445"
"5","0","0","0","0.02556","0.02556","0.02556","0.02408","0.02408","0.02408","0","0","0","0.00014","0.00014","0.00014","0.08976","0.08976","0.08976","0.09404","0.09404","0.09404","0.08638","0.08638","0.08638","0.12574","0.12574","0.12574","0.14728","0.14728","0.14728"
"6","0.02338","0.02338","0.02338","0.06372","0.06372","0.06372","0.02235","0.02235","0.02235","0.00028","0.00028","0.00028","0.00121","0.00121","0.00121","0.11919","0.11919","0.11919","0.12152","0.12152","0.12152","0.12039","0.12039","0.12039","0.1366","0.1366","0.1366","0.1126","0.1126","0.1126"
"7","0.04608","0.04608","0.04608","0.08274","0.08274","0.08274","0.00218","0.00218","0.00218","0","0","0","0","0","0","0.13537","0.13537","0.13537","0.14964","0.14964","0.14964","0.12683","0.12683","0.12683","0.16978","0.16978","0.16978","0.12183","0.12183","0.12183"
"8","0.03748","0.03748","0.03748","0.10597","0.10597","0.10597","0.00372","0.00372","0.00372","0.00073","0.00073","0.00073","0.00074","0.00074","0.00074","0.19767","0.19767","0.19767","0.2491","0.2491","0.2491","0.16826","0.16826","0.16826","0.19798","0.19798","0.19798","0.21818","0.21818","0.21818"
"9","0.04107","0.04107","0.04107","0.11502","0.11502","0.11502","0.01327","0.01327","0.01327","0.00122","0.00122","0.00122","0.00158","0.00158","0.00158","0.17996","0.17996","0.17996","0.19448","0.19448","0.19448","0.16867","0.16867","0.16867","0.2374","0.2374","0.2374","0.19532","0.19532","0.19532"
"10","0","0","0","0.16524","0.16524","0.16524","0","0","0","0.00077","0.00077","0.00077","0.00045","0.00045","0.00045","0.22543","0.22543","0.22543","0.22539","0.22539","0.22539","0.17981","0.17981","0.17981","0.22614","0.22614","0.22614","0.21602","0.21602","0.21602"
