"Name","num_params","best_val_accuracy","_wandb"
"MTL[T=60]-Resnet101-CIFAR10","27316298","75.7",""
"MLConv[R=400]-Resnet101-CIFAR10","40818234","72.62",""
"MLConv[R=300]-Resnet101-CIFAR10","30645134","72.65",""
"MLConv[R=200]-Resnet101-CIFAR10","20472034","71.96",""
"MLConv[R=100]-Resnet101-CIFAR10","10298934","72.89",""
"MTL[T=45]-Resnet101-CIFAR10","29937738","75.42",""
"MTL[T=30]-Resnet101-CIFAR10","32559178","75.42",""
"MTL[T=15]-Resnet101-CIFAR10","35180618","77.48",""
"Resnet101-CIFAR10","42520650","75.66",""
"MTL[T=3]-Resnet101-CIFAR10","36229194","76.78",""
