"Name","model/parameters","metrics/mAP50(B)","_wandb"
"MLConv[R=50]-YOLO11x-DOTAv1-23","17228737","0.4798303022422173",""
"MLConv[R=150]-YOLO11x-DOTAv1-23","24632137","0.48516891005316537",""
"MTL[T=17]-YOLO11x-DOTAv1-23","49827613","0.5032614659313975",""
"MTL[T=23]-YOLO11x-DOTAv1-23","46893853","0.4794362105481185",""
"MLConv[R=100]-YOLO11x-DOTAv1-23","20930437","0.4714426919945749",""
"MLConv[R=1]-YOLO11x-DOTAv1-23","13601071","0.1126516435958267",""
"MTL[T=16]-YOLO11x-DOTAv1-23","54544605","0.5027963302573728",""
"MTL[T=24]-YOLO11x-DOTAv1-23","45720605","0.5168533100967971",""
"MTL[T=30]-YOLO11x-DOTAv1-23","45058205","0.46046",""
"YOLO11x-DOTAv1-23","56891101","0.5033994281254512",""
"MTL[T=36]-YOLO11x-DOTAv1-23","42124445","0.42072",""
