"Name","model/parameters","metrics/mAP50(B)","_wandb"
"MLConv[R=10]-YOLO11x-DOTAv1","14267377","0.45087801019908913",""
"MLConv[R=50]-YOLO11x-DOTAv1","17228737","0.5132907859963888",""
"MLConv[R=100]-YOLO11x-DOTAv1","20930437","0.5262842764341564",""
"MLConv[R=150]-YOLO11x-DOTAv1","24632137","0.5305520726781158",""
"MLConv[R=1]-YOLO11x-DOTAv1","13601071","0.12191909818310318",""
"MTL[T=30]-YOLO11x-DOTAv1","45058205","0.503",""
"MTL[T=36]-YOLO11x-DOTAv1","42124445","0.508",""
"MTL[T=16]-YOLO11x-DOTAv1","54544605","0.5298061437991095",""
"YOLO11x-DOTAv1","56891101","0.5350880577763092",""
"MTL[T=24]-YOLO11x-DOTAv1","46592541","0.5243532659141631",""
"MTL[T=23]-YOLO11x-DOTAv1","47765789","0.5292674410892767",""
"MTL[T=17]-YOLO11x-DOTAv1","50410269","0.548525595085504",""
"MTL[22]-YOLO11x-DOTAv1","55127261","0.5642358786550276",""
