"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MAX"
"1","0","0","0","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","1024","1024","1024"
"2","3","3","3","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","1024","1024","1024"
"3","6","6","6","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","1024","1024","1024"
"4","9","9","9","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","1024","1024","1024"
"5","12","12","12","254","254","254","223","223","223","218","218","218","219","219","219","255","255","255","481","481","481","477","477","477","512","512","512","477","477","477","478","478","478","512","512","512","482","482","482","472","472","472","512","512","512","1024","1024","1024"
"6","15","15","15","254","254","254","223","223","223","218","218","218","219","219","219","255","255","255","481","481","481","477","477","477","296","296","296","477","477","477","478","478","478","307","307","307","481","481","481","471","471","471","301","301","301","585","585","585"
"7","18","18","18","254","254","254","223","223","223","218","218","218","218","218","218","255","255","255","481","481","481","477","477","477","296","296","296","477","477","477","478","478","478","307","307","307","481","481","481","471","471","471","301","301","301","585","585","585"
"8","21","21","21","254","254","254","222","222","222","218","218","218","217","217","217","255","255","255","481","481","481","477","477","477","294","294","294","477","477","477","478","478","478","307","307","307","480","480","480","471","471","471","301","301","301","584","584","584"
"9","24","24","24","254","254","254","222","222","222","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","294","294","294","477","477","477","478","478","478","305","305","305","479","479","479","471","471","471","300","300","300","581","581","581"
"10","27","27","27","254","254","254","222","222","222","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","292","292","292","476","476","476","478","478","478","305","305","305","479","479","479","471","471","471","299","299","299","580","580","580"
"11","30","30","30","254","254","254","222","222","222","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","292","292","292","476","476","476","478","478","478","305","305","305","478","478","478","471","471","471","299","299","299","580","580","580"
"12","33","33","33","254","254","254","221","221","221","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","291","291","291","476","476","476","477","477","477","304","304","304","478","478","478","471","471","471","299","299","299","577","577","577"
"13","36","36","36","254","254","254","221","221","221","218","218","218","217","217","217","254","254","254","481","481","481","476","476","476","291","291","291","476","476","476","477","477","477","302","302","302","478","478","478","471","471","471","298","298","298","577","577","577"
"14","39","39","39","254","254","254","220","220","220","218","218","218","215","215","215","254","254","254","481","481","481","476","476","476","290","290","290","476","476","476","477","477","477","302","302","302","478","478","478","471","471","471","298","298","298","574","574","574"
"15","42","42","42","254","254","254","220","220","220","217","217","217","215","215","215","254","254","254","480","480","480","476","476","476","290","290","290","476","476","476","477","477","477","301","301","301","477","477","477","470","470","470","297","297","297","574","574","574"
"16","45","45","45","254","254","254","219","219","219","217","217","217","215","215","215","254","254","254","480","480","480","476","476","476","290","290","290","476","476","476","477","477","477","300","300","300","476","476","476","468","468","468","296","296","296","573","573","573"
"17","48","48","48","254","254","254","219","219","219","217","217","217","215","215","215","254","254","254","479","479","479","476","476","476","289","289","289","476","476","476","477","477","477","299","299","299","476","476","476","468","468","468","295","295","295","573","573","573"
"18","51","51","51","254","254","254","218","218","218","216","216","216","214","214","214","254","254","254","479","479","479","475","475","475","288","288","288","476","476","476","477","477","477","299","299","299","475","475","475","468","468","468","295","295","295","573","573","573"
"19","54","54","54","254","254","254","218","218","218","216","216","216","214","214","214","254","254","254","478","478","478","475","475","475","288","288","288","476","476","476","477","477","477","299","299","299","475","475","475","468","468","468","293","293","293","572","572","572"
"20","57","57","57","254","254","254","218","218","218","214","214","214","214","214","214","254","254","254","478","478","478","475","475","475","288","288","288","476","476","476","477","477","477","299","299","299","475","475","475","467","467","467","293","293","293","569","569","569"
"21","60","60","60","253","253","253","218","218","218","214","214","214","214","214","214","254","254","254","478","478","478","474","474","474","288","288","288","476","476","476","476","476","476","298","298","298","475","475","475","465","465","465","292","292","292","568","568","568"
"22","63","63","63","253","253","253","218","218","218","214","214","214","214","214","214","254","254","254","477","477","477","474","474","474","288","288","288","476","476","476","475","475","475","298","298","298","475","475","475","465","465","465","291","291","291","567","567","567"
"23","66","66","66","253","253","253","218","218","218","214","214","214","213","213","213","254","254","254","477","477","477","474","474","474","287","287","287","476","476","476","475","475","475","297","297","297","475","475","475","464","464","464","290","290","290","565","565","565"
"24","69","69","69","253","253","253","218","218","218","214","214","214","213","213","213","254","254","254","477","477","477","474","474","474","287","287","287","476","476","476","474","474","474","297","297","297","474","474","474","464","464","464","290","290","290","563","563","563"
"25","72","72","72","253","253","253","218","218","218","214","214","214","213","213","213","254","254","254","477","477","477","474","474","474","287","287","287","475","475","475","472","472","472","295","295","295","474","474","474","464","464","464","288","288","288","562","562","562"
"26","75","75","75","253","253","253","217","217","217","214","214","214","213","213","213","254","254","254","476","476","476","473","473","473","287","287","287","474","474","474","472","472","472","294","294","294","474","474","474","463","463","463","286","286","286","561","561","561"
