"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MAX"
"1","0","0","0","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","512","512","512","512","512","512","512","512","512","1024","1024","1024","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512","512"
"2","3","3","3","221","221","221","255","255","255","220","220","220","221","221","221","255","255","255","484","484","484","481","481","481","512","512","512","1024","1024","1024","483","483","483","487","487","487","512","512","512","483","483","483","477","477","477","512","512","512"
"3","6","6","6","221","221","221","255","255","255","220","220","220","221","221","221","255","255","255","484","484","484","481","481","481","251","251","251","493","493","493","483","483","483","487","487","487","250","250","250","483","483","483","476","476","476","259","259","259"
"4","9","9","9","220","220","220","255","255","255","220","220","220","220","220","220","255","255","255","484","484","484","480","480","480","251","251","251","493","493","493","483","483","483","487","487","487","250","250","250","483","483","483","476","476","476","259","259","259"
"5","12","12","12","220","220","220","255","255","255","219","219","219","220","220","220","255","255","255","484","484","484","480","480","480","251","251","251","493","493","493","483","483","483","486","486","486","250","250","250","483","483","483","475","475","475","259","259","259"
"6","15","15","15","220","220","220","255","255","255","219","219","219","220","220","220","255","255","255","484","484","484","479","479","479","251","251","251","493","493","493","482","482","482","486","486","486","250","250","250","483","483","483","475","475","475","259","259","259"
"7","18","18","18","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","484","484","484","478","478","478","251","251","251","493","493","493","481","481","481","485","485","485","250","250","250","483","483","483","475","475","475","259","259","259"
"8","21","21","21","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","482","482","482","478","478","478","251","251","251","493","493","493","480","480","480","484","484","484","250","250","250","483","483","483","475","475","475","259","259","259"
"9","24","24","24","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","482","482","482","477","477","477","251","251","251","493","493","493","479","479","479","484","484","484","250","250","250","483","483","483","475","475","475","259","259","259"
"10","27","27","27","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","482","482","482","477","477","477","251","251","251","493","493","493","478","478","478","484","484","484","250","250","250","482","482","482","475","475","475","259","259","259"
"11","30","30","30","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","478","478","478","483","483","483","250","250","250","482","482","482","474","474","474","259","259","259"
"12","33","33","33","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","478","478","478","481","481","481","250","250","250","482","482","482","474","474","474","259","259","259"
"13","36","36","36","220","220","220","254","254","254","219","219","219","219","219","219","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","478","478","478","480","480","480","250","250","250","482","482","482","473","473","473","259","259","259"
"14","39","39","39","220","220","220","254","254","254","218","218","218","218","218","218","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","478","478","478","478","478","478","250","250","250","482","482","482","472","472","472","259","259","259"
"15","42","42","42","220","220","220","254","254","254","218","218","218","218","218","218","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","478","478","478","478","478","478","250","250","250","482","482","482","472","472","472","259","259","259"
"16","45","45","45","220","220","220","254","254","254","218","218","218","218","218","218","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","477","477","477","478","478","478","250","250","250","481","481","481","471","471","471","259","259","259"
"17","48","48","48","220","220","220","254","254","254","218","218","218","217","217","217","255","255","255","481","481","481","477","477","477","251","251","251","493","493","493","477","477","477","478","478","478","250","250","250","480","480","480","471","471","471","259","259","259"
"18","51","51","51","219","219","219","254","254","254","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","480","480","480","471","471","471","259","259","259"
"19","54","54","54","219","219","219","254","254","254","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","479","479","479","471","471","471","259","259","259"
"20","57","57","57","219","219","219","254","254","254","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","479","479","479","471","471","471","259","259","259"
"21","60","60","60","219","219","219","254","254","254","218","218","218","217","217","217","254","254","254","481","481","481","477","477","477","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","478","478","478","471","471","471","259","259","259"
"22","63","63","63","219","219","219","254","254","254","218","218","218","217","217","217","254","254","254","481","481","481","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","478","478","478","471","471","471","259","259","259"
"23","66","66","66","219","219","219","254","254","254","217","217","217","217","217","217","254","254","254","481","481","481","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","478","478","478","471","471","471","259","259","259"
"24","69","69","69","219","219","219","254","254","254","217","217","217","216","216","216","254","254","254","481","481","481","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","477","477","477","470","470","470","259","259","259"
"25","72","72","72","219","219","219","254","254","254","217","217","217","216","216","216","254","254","254","480","480","480","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","476","476","476","469","469","469","259","259","259"
