"epoch","LR[K=229]-ResNet101-CIFAR10 - _step","LR[K=229]-ResNet101-CIFAR10 - _step__MIN","LR[K=229]-ResNet101-CIFAR10 - _step__MAX","LR[K=229]-ResNet101-CIFAR10 - best_val_accuracy","LR[K=229]-ResNet101-CIFAR10 - best_val_accuracy__MIN","LR[K=229]-ResNet101-CIFAR10 - best_val_accuracy__MAX","LR[K=150]-ResNet101-CIFAR10 - _step","LR[K=150]-ResNet101-CIFAR10 - _step__MIN","LR[K=150]-ResNet101-CIFAR10 - _step__MAX","LR[K=150]-ResNet101-CIFAR10 - best_val_accuracy","LR[K=150]-ResNet101-CIFAR10 - best_val_accuracy__MIN","LR[K=150]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MLconv[R=200]-ResNet101-CIFAR10 - _step","MLconv[R=200]-ResNet101-CIFAR10 - _step__MIN","MLconv[R=200]-ResNet101-CIFAR10 - _step__MAX","MLconv[R=200]-ResNet101-CIFAR10 - best_val_accuracy","MLconv[R=200]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MLconv[R=200]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MTL[T=15]-ResNet101-CIFAR10 - _step","MTL[T=15]-ResNet101-CIFAR10 - _step__MIN","MTL[T=15]-ResNet101-CIFAR10 - _step__MAX","MTL[T=15]-ResNet101-CIFAR10 - best_val_accuracy","MTL[T=15]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MTL[T=15]-ResNet101-CIFAR10 - best_val_accuracy__MAX","LR[K=300]-ResNet101-CIFAR10 - _step","LR[K=300]-ResNet101-CIFAR10 - _step__MIN","LR[K=300]-ResNet101-CIFAR10 - _step__MAX","LR[K=300]-ResNet101-CIFAR10 - best_val_accuracy","LR[K=300]-ResNet101-CIFAR10 - best_val_accuracy__MIN","LR[K=300]-ResNet101-CIFAR10 - best_val_accuracy__MAX","LR[K=260]-ResNet101-CIFAR10 - _step","LR[K=260]-ResNet101-CIFAR10 - _step__MIN","LR[K=260]-ResNet101-CIFAR10 - _step__MAX","LR[K=260]-ResNet101-CIFAR10 - best_val_accuracy","LR[K=260]-ResNet101-CIFAR10 - best_val_accuracy__MIN","LR[K=260]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MLconv[R=400]-ResNet101-CIFAR10 - _step","MLconv[R=400]-ResNet101-CIFAR10 - _step__MIN","MLconv[R=400]-ResNet101-CIFAR10 - _step__MAX","MLconv[R=400]-ResNet101-CIFAR10 - best_val_accuracy","MLconv[R=400]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MLconv[R=400]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MTL[T=3]-ResNet101-CIFAR10 - _step","MTL[T=3]-ResNet101-CIFAR10 - _step__MIN","MTL[T=3]-ResNet101-CIFAR10 - _step__MAX","MTL[T=3]-ResNet101-CIFAR10 - best_val_accuracy","MTL[T=3]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MTL[T=3]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MLconv[R=100]-ResNet101-CIFAR10 - _step","MLconv[R=100]-ResNet101-CIFAR10 - _step__MIN","MLconv[R=100]-ResNet101-CIFAR10 - _step__MAX","MLconv[R=100]-ResNet101-CIFAR10 - best_val_accuracy","MLconv[R=100]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MLconv[R=100]-ResNet101-CIFAR10 - best_val_accuracy__MAX","ResNet101-CIFAR10 - _step","ResNet101-CIFAR10 - _step__MIN","ResNet101-CIFAR10 - _step__MAX","ResNet101-CIFAR10 - best_val_accuracy","ResNet101-CIFAR10 - best_val_accuracy__MIN","ResNet101-CIFAR10 - best_val_accuracy__MAX","LR[K=75]-ResNet101-CIFAR10 - _step","LR[K=75]-ResNet101-CIFAR10 - _step__MIN","LR[K=75]-ResNet101-CIFAR10 - _step__MAX","LR[K=75]-ResNet101-CIFAR10 - best_val_accuracy","LR[K=75]-ResNet101-CIFAR10 - best_val_accuracy__MIN","LR[K=75]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MLconv[R=345]-ResNet101-CIFAR10 - _step","MLconv[R=345]-ResNet101-CIFAR10 - _step__MIN","MLconv[R=345]-ResNet101-CIFAR10 - _step__MAX","MLconv[R=345]-ResNet101-CIFAR10 - best_val_accuracy","MLconv[R=345]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MLconv[R=345]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MLconv[R=300]-ResNet101-CIFAR10 - _step","MLconv[R=300]-ResNet101-CIFAR10 - _step__MIN","MLconv[R=300]-ResNet101-CIFAR10 - _step__MAX","MLconv[R=300]-ResNet101-CIFAR10 - best_val_accuracy","MLconv[R=300]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MLconv[R=300]-ResNet101-CIFAR10 - best_val_accuracy__MAX","MTL[T=42]-ResNet101-CIFAR10 - _step","MTL[T=42]-ResNet101-CIFAR10 - _step__MIN","MTL[T=42]-ResNet101-CIFAR10 - _step__MAX","MTL[T=42]-ResNet101-CIFAR10 - best_val_accuracy","MTL[T=42]-ResNet101-CIFAR10 - best_val_accuracy__MIN","MTL[T=42]-ResNet101-CIFAR10 - best_val_accuracy__MAX"
"1","2","2","2","11.46","11.46","11.46","2","2","2","17.52","17.52","17.52","2","2","2","19.04","19.04","19.04","2","2","2","19.44","19.44","19.44","2","2","2","19.41","19.41","19.41","2","2","2","10.3","10.3","10.3","2","2","2","17.97","17.97","17.97","2","2","2","10.29","10.29","10.29","2","2","2","10.53","10.53","10.53","2","2","2","20.95","20.95","20.95","2","2","2","19.56","19.56","19.56","2","2","2","20.88","20.88","20.88","2","2","2","20.91","20.91","20.91","2","2","2","23.41","23.41","23.41"
"2","4","4","4","20.54","20.54","20.54","4","4","4","24.88","24.88","24.88","4","4","4","23.97","23.97","23.97","4","4","4","24.79","24.79","24.79","4","4","4","17.16","17.16","17.16","4","4","4","22.67","22.67","22.67","4","4","4","16.8","16.8","16.8","4","4","4","29.6","29.6","29.6","4","4","4","20.19","20.19","20.19","4","4","4","31.65","31.65","31.65","4","4","4","19.56","19.56","19.56","4","4","4","22.85","22.85","22.85","4","4","4","25.17","25.17","25.17","4","4","4","39.7","39.7","39.7"
"3","6","6","6","20.54","20.54","20.54","6","6","6","22.68","22.68","22.68","6","6","6","30.84","30.84","30.84","6","6","6","33.17","33.17","33.17","6","6","6","25.9","25.9","25.9","6","6","6","27","27","27","6","6","6","22.72","22.72","22.72","6","6","6","33.73","33.73","33.73","6","6","6","26.3","26.3","26.3","6","6","6","36.25","36.25","36.25","6","6","6","26.28","26.28","26.28","6","6","6","26.12","26.12","26.12","6","6","6","33.61","33.61","33.61","6","6","6","46.55","46.55","46.55"
"4","8","8","8","26.41","26.41","26.41","8","8","8","31.09","31.09","31.09","8","8","8","38.53","38.53","38.53","8","8","8","43.29","43.29","43.29","8","8","8","29.39","29.39","29.39","8","8","8","27","27","27","8","8","8","31.99","31.99","31.99","8","8","8","39.83","39.83","39.83","8","8","8","36.62","36.62","36.62","8","8","8","41.02","41.02","41.02","8","8","8","30.96","30.96","30.96","8","8","8","29.01","29.01","29.01","8","8","8","38.11","38.11","38.11","8","8","8","50.52","50.52","50.52"
"5","10","10","10","33.34","33.34","33.34","10","10","10","33.58","33.58","33.58","10","10","10","38.53","38.53","38.53","10","10","10","46.93","46.93","46.93","10","10","10","33.72","33.72","33.72","10","10","10","28.91","28.91","28.91","10","10","10","31.96","31.96","31.96","10","10","10","43.19","43.19","43.19","10","10","10","39.54","39.54","39.54","10","10","10","41.14","41.14","41.14","10","10","10","36.12","36.12","36.12","10","10","10","33.11","33.11","33.11","10","10","10","40.44","40.44","40.44","10","10","10","52.21","52.21","52.21"
"6","12","12","12","39.11","39.11","39.11","12","12","12","36.37","36.37","36.37","12","12","12","38.53","38.53","38.53","12","12","12","48.99","48.99","48.99","12","12","12","33.72","33.72","33.72","12","12","12","32.47","32.47","32.47","12","12","12","35.69","35.69","35.69","12","12","12","47.17","47.17","47.17","12","12","12","44.08","44.08","44.08","12","12","12","49.82","49.82","49.82","12","12","12","43.46","43.46","43.46","12","12","12","39.03","39.03","39.03","12","12","12","45.07","45.07","45.07","12","12","12","57.24","57.24","57.24"
"7","14","14","14","45.17","45.17","45.17","14","14","14","42.12","42.12","42.12","14","14","14","44.22","44.22","44.22","14","14","14","50.87","50.87","50.87","14","14","14","43.96","43.96","43.96","14","14","14","37.89","37.89","37.89","14","14","14","39.21","39.21","39.21","14","14","14","47.86","47.86","47.86","14","14","14","45.9","45.9","45.9","14","14","14","55.06","55.06","55.06","14","14","14","45.56","45.56","45.56","14","14","14","44.3","44.3","44.3","14","14","14","48.73","48.73","48.73","14","14","14","59.39","59.39","59.39"
"8","16","16","16","45.17","45.17","45.17","16","16","16","49.04","49.04","49.04","16","16","16","48.57","48.57","48.57","16","16","16","57.53","57.53","57.53","16","16","16","46.9","46.9","46.9","16","16","16","39.36","39.36","39.36","16","16","16","43.02","43.02","43.02","16","16","16","57.27","57.27","57.27","16","16","16","45.9","45.9","45.9","16","16","16","55.06","55.06","55.06","16","16","16","45.56","45.56","45.56","16","16","16","46.66","46.66","46.66","16","16","16","49.5","49.5","49.5","16","16","16","59.39","59.39","59.39"
"9","18","18","18","52.04","52.04","52.04","18","18","18","49.88","49.88","49.88","18","18","18","48.57","48.57","48.57","18","18","18","57.43","57.43","57.43","18","18","18","51.66","51.66","51.66","18","18","18","39.36","39.36","39.36","18","18","18","45.41","45.41","45.41","18","18","18","57.27","57.27","57.27","18","18","18","45.9","45.9","45.9","18","18","18","58.27","58.27","58.27","18","18","18","45.56","45.56","45.56","18","18","18","45.53","45.53","45.53","18","18","18","51.37","51.37","51.37","18","18","18","64.74","64.74","64.74"
"10","20","20","20","52.04","52.04","52.04","20","20","20","52.91","52.91","52.91","20","20","20","49.55","49.55","49.55","20","20","20","63.2","63.2","63.2","20","20","20","51.66","51.66","51.66","20","20","20","39.36","39.36","39.36","20","20","20","49.12","49.12","49.12","20","20","20","64.69","64.69","64.69","20","20","20","45.9","45.9","45.9","20","20","20","60.35","60.35","60.35","20","20","20","45.56","45.56","45.56","20","20","20","52.77","52.77","52.77","20","20","20","44.89","44.89","44.89","20","20","20","65.4","65.4","65.4"
