epoch,MLconv[R=100]-ResNet101-CIFAR10-25 - _step,MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MIN,MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MAX,MLconv[R=100]-ResNet101-CIFAR10-25 - best_val_accuracy,MLconv[R=100]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MLconv[R=100]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MTL[T=42]-ResNet101-CIFAR10-25 - _step,MTL[T=42]-ResNet101-CIFAR10-25 - _step__MIN,MTL[T=42]-ResNet101-CIFAR10-25 - _step__MAX,MTL[T=42]-ResNet101-CIFAR10-25 - best_val_accuracy,MTL[T=42]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MTL[T=42]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MLconv[R=200]-ResNet101-CIFAR10-25 - _step,MLconv[R=200]-ResNet101-CIFAR10-25 - _step__MIN,MLconv[R=200]-ResNet101-CIFAR10-25 - _step__MAX,MLconv[R=200]-ResNet101-CIFAR10-25 - best_val_accuracy,MLconv[R=200]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MLconv[R=200]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MLconv[R=300]-ResNet101-CIFAR10-25 - _step,MLconv[R=300]-ResNet101-CIFAR10-25 - _step__MIN,MLconv[R=300]-ResNet101-CIFAR10-25 - _step__MAX,MLconv[R=300]-ResNet101-CIFAR10-25 - best_val_accuracy,MLconv[R=300]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MLconv[R=300]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,LR[K=75]-ResNet101-CIFAR10-25 - _step,LR[K=75]-ResNet101-CIFAR10-25 - _step__MIN,LR[K=75]-ResNet101-CIFAR10-25 - _step__MAX,LR[K=75]-ResNet101-CIFAR10-25 - best_val_accuracy,LR[K=75]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,LR[K=75]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,LR[K=150]-ResNet101-CIFAR10-25 - _step,LR[K=150]-ResNet101-CIFAR10-25 - _step__MIN,LR[K=150]-ResNet101-CIFAR10-25 - _step__MAX,LR[K=150]-ResNet101-CIFAR10-25 - best_val_accuracy,LR[K=150]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,LR[K=150]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,LR[K=229]-ResNet101-CIFAR10-25 - _step,LR[K=229]-ResNet101-CIFAR10-25 - _step__MIN,LR[K=229]-ResNet101-CIFAR10-25 - _step__MAX,LR[K=229]-ResNet101-CIFAR10-25 - best_val_accuracy,LR[K=229]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,LR[K=229]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,LR[K=260]-ResNet101-CIFAR10-25 - _step,LR[K=260]-ResNet101-CIFAR10-25 - _step__MIN,LR[K=260]-ResNet101-CIFAR10-25 - _step__MAX,LR[K=260]-ResNet101-CIFAR10-25 - best_val_accuracy,LR[K=260]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,LR[K=260]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,LR[K=300]-ResNet101-CIFAR10-25 - _step,LR[K=300]-ResNet101-CIFAR10-25 - _step__MIN,LR[K=300]-ResNet101-CIFAR10-25 - _step__MAX,LR[K=300]-ResNet101-CIFAR10-25 - best_val_accuracy,LR[K=300]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,LR[K=300]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MLconv[R=345]-ResNet101-CIFAR10-25 - _step,MLconv[R=345]-ResNet101-CIFAR10-25 - _step__MIN,MLconv[R=345]-ResNet101-CIFAR10-25 - _step__MAX,MLconv[R=345]-ResNet101-CIFAR10-25 - best_val_accuracy,MLconv[R=345]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MLconv[R=345]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MTL[T=15]-ResNet101-CIFAR10-25 - _step,MTL[T=15]-ResNet101-CIFAR10-25 - _step__MIN,MTL[T=15]-ResNet101-CIFAR10-25 - _step__MAX,MTL[T=15]-ResNet101-CIFAR10-25 - best_val_accuracy,MTL[T=15]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MTL[T=15]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MLconv[R=400]-ResNet101-CIFAR10-25 - _step,MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MIN,MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MAX,MLconv[R=400]-ResNet101-CIFAR10-25 - best_val_accuracy,MLconv[R=400]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MLconv[R=400]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,MTL[T=3]-ResNet101-CIFAR10-25 - _step,MTL[T=3]-ResNet101-CIFAR10-25 - _step__MIN,MTL[T=3]-ResNet101-CIFAR10-25 - _step__MAX,MTL[T=3]-ResNet101-CIFAR10-25 - best_val_accuracy,MTL[T=3]-ResNet101-CIFAR10-25 - best_val_accuracy__MIN,MTL[T=3]-ResNet101-CIFAR10-25 - best_val_accuracy__MAX,ResNet101-CIFAR10-25 - _step,ResNet101-CIFAR10-25 - _step__MIN,ResNet101-CIFAR10-25 - _step__MAX,ResNet101-CIFAR10-25 - best_val_accuracy,ResNet101-CIFAR10-25 - best_val_accuracy__MIN,ResNet101-CIFAR10-25 - best_val_accuracy__MAX,"original_LR-MTL[T=3,lambda_ce=0.70]-ResNet101-CIFAR10-25 - best_val_accuracy","LR-MTL[T=3,lambda_ce=0.70]-ResNet101-CIFAR10-25 - best_val_accuracy","original_LR-MTL[T=15,lambda_ce=0.70]-ResNet101-CIFAR10-25 - best_val_accuracy","LR-MTL[T=15,lambda_ce=0.70]-ResNet101-CIFAR10-25 - best_val_accuracy","original_LR-MTL[T=42,lambda_ce=0.70]-ResNet101-CIFAR10-25 - best_val_accuracy","LR-MTL[T=42,lambda_ce=0.70]-ResNet101-CIFAR10-25 - best_val_accuracy",MTL[T=4]-ResNet101-CIFAR10-25 - best_val_accuracy,MTL[T=16]-ResNet101-CIFAR10-25 - best_val_accuracy,MTL[T=43]-ResNet101-CIFAR10-25 - best_val_accuracy
1,2,2,2,12.2,12.2,12.2,2,2,2,10.15,10.15,10.15,2,2,2,10,10,10,2,2,2,11.51,11.51,11.51,2,2,2,10,10,10,2,2,2,14.52,14.52,14.52,2,2,2,9.89,9.89,9.89,2,2,2,11.28,11.28,11.28,2,2,2,10.15,10.15,10.15,2,2,2,10.36,10.36,10.36,2,2,2,11.51,11.51,11.51,2,2,2,12.19,12.19,12.19,2,2,2,10.09,10.09,10.09,2,2,2,14.38,14.38,14.38,28.3,27.3,25.36,24.36,21.11,20.11,23.85,31.07,28.35
2,4,4,4,12.84,12.84,12.84,4,4,4,17.86,17.86,17.86,4,4,4,12.11,12.11,12.11,4,4,4,11.31,11.31,11.31,4,4,4,10,10,10,4,4,4,10.39,10.39,10.39,4,4,4,10.24,10.24,10.24,4,4,4,12.57,12.57,12.57,4,4,4,10.99,10.99,10.99,4,4,4,10.12,10.12,10.12,4,4,4,19.2,19.2,19.2,4,4,4,20.56,20.56,20.56,4,4,4,15.46,15.46,15.46,4,4,4,20.75,20.75,20.75,33.62,32.62,31.52,30.52,34.87,33.87,34.06,39.08,33.05
3,6,6,6,20.09,20.09,20.09,6,6,6,28.51,28.51,28.51,6,6,6,12.11,12.11,12.11,6,6,6,18.43,18.43,18.43,6,6,6,18.98,18.98,18.98,6,6,6,11.69,11.69,11.69,6,6,6,10.24,10.24,10.24,6,6,6,10.7,10.7,10.7,6,6,6,16.16,16.16,16.16,6,6,6,16.17,16.17,16.17,6,6,6,30.07,30.07,30.07,6,6,6,21.2,21.2,21.2,6,6,6,16.52,16.52,16.52,6,6,6,24.96,24.96,24.96,37.56,36.56,36.1,35.1,34.87,33.87,38.17,39.08,37.68
4,8,8,8,22.1,22.1,22.1,8,8,8,37.51,37.51,37.51,8,8,8,20.89,20.89,20.89,8,8,8,22.21,22.21,22.21,8,8,8,24.65,24.65,24.65,8,8,8,11.69,11.69,11.69,8,8,8,13.97,13.97,13.97,8,8,8,12.71,12.71,12.71,8,8,8,17.21,17.21,17.21,8,8,8,18.65,18.65,18.65,8,8,8,37.58,37.58,37.58,8,8,8,22.05,22.05,22.05,8,8,8,23.47,23.47,23.47,8,8,8,28.8,28.8,28.8,41.36,40.36,37.51,36.51,41.27,40.27,38.17,46.37,43.33
5,10,10,10,26.53,26.53,26.53,10,10,10,38.84,38.84,38.84,10,10,10,21.48,21.48,21.48,10,10,10,23.94,23.94,23.94,10,10,10,24.65,24.65,24.65,10,10,10,13.81,13.81,13.81,10,10,10,20.27,20.27,20.27,10,10,10,15.05,15.05,15.05,10,10,10,22.29,22.29,22.29,10,10,10,22.27,22.27,22.27,10,10,10,42.31,42.31,42.31,10,10,10,26.19,26.19,26.19,10,10,10,25.97,25.97,25.97,10,10,10,30.04,30.04,30.04,41.36,40.36,44,43,41.31,40.31,42.76,47.88,45.32
6,12,12,12,28.75,28.75,28.75,12,12,12,43.65,43.65,43.65,12,12,12,23.37,23.37,23.37,12,12,12,26.23,26.23,26.23,12,12,12,27.03,27.03,27.03,12,12,12,13.38,13.38,13.38,12,12,12,23.67,23.67,23.67,12,12,12,19.52,19.52,19.52,12,12,12,24.54,24.54,24.54,12,12,12,23.35,23.35,23.35,12,12,12,42.31,42.31,42.31,12,12,12,24.78,24.78,24.78,12,12,12,29.86,29.86,29.86,12,12,12,32.83,32.83,32.83,44.02,43.02,44,43,44.96,43.96,45.47,49.74,48.88
7,14,14,14,32.12,32.12,32.12,14,14,14,48.07,48.07,48.07,14,14,14,25.47,25.47,25.47,14,14,14,30.88,30.88,30.88,14,14,14,28.79,28.79,28.79,14,14,14,15.19,15.19,15.19,14,14,14,26.28,26.28,26.28,14,14,14,23.64,23.64,23.64,14,14,14,26.52,26.52,26.52,14,14,14,24.76,24.76,24.76,14,14,14,49.18,49.18,49.18,14,14,14,28.35,28.35,28.35,14,14,14,35.73,35.73,35.73,14,14,14,32.83,32.83,32.83,44.02,43.02,48.01,47.01,46.86,45.86,45.47,49.74,50.97
8,16,16,16,36.64,36.64,36.64,16,16,16,48.07,48.07,48.07,16,16,16,27.03,27.03,27.03,16,16,16,30.88,30.88,30.88,16,16,16,28.79,28.79,28.79,16,16,16,17.73,17.73,17.73,16,16,16,28.31,28.31,28.31,16,16,16,24.32,24.32,24.32,16,16,16,27.04,27.04,27.04,16,16,16,25.22,25.22,25.22,16,16,16,49.18,49.18,49.18,16,16,16,29.88,29.88,29.88,16,16,16,38.56,38.56,38.56,16,16,16,32.83,32.83,32.83,44.02,43.02,48.21,47.21,50.3,49.3,45.47,51.36,50.97
9,18,18,18,35.58,35.58,35.58,18,18,18,48.07,48.07,48.07,18,18,18,28.27,28.27,28.27,18,18,18,30.88,30.88,30.88,18,18,18,28.79,28.79,28.79,18,18,18,18.04,18.04,18.04,18,18,18,28.68,28.68,28.68,18,18,18,24.32,24.32,24.32,18,18,18,27.04,27.04,27.04,18,18,18,26.72,26.72,26.72,18,18,18,52.12,52.12,52.12,18,18,18,32.86,32.86,32.86,18,18,18,43.04,43.04,43.04,18,18,18,32.83,32.83,32.83,44.02,43.02,48.21,47.21,50.3,49.3,45.47,51.36,51.12
10,20,20,20,37.3,37.3,37.3,20,20,20,48.07,48.07,48.07,20,20,20,30.46,30.46,30.46,20,20,20,35.47,35.47,35.47,20,20,20,28.79,28.79,28.79,20,20,20,19.83,19.83,19.83,20,20,20,33.47,33.47,33.47,20,20,20,24.32,24.32,24.32,20,20,20,27.04,27.04,27.04,20,20,20,32.26,32.26,32.26,20,20,20,52.12,52.12,52.12,20,20,20,36.65,36.65,36.65,20,20,20,43.04,43.04,43.04,20,20,20,33.13,33.13,33.13,44.02,43.02,48.21,47.21,53.23,52.23,45.47,53.17,53.15
11,22,22,22,38.84,38.84,38.84,22,22,22,48.18,48.18,48.18,22,22,22,31.08,31.08,31.08,22,22,22,35.47,35.47,35.47,22,22,22,31.88,31.88,31.88,22,22,22,24.37,24.37,24.37,22,22,22,33.49,33.49,33.49,22,22,22,24.59,24.59,24.59,22,22,22,28.67,28.67,28.67,22,22,22,30.79,30.79,30.79,22,22,22,52.12,52.12,52.12,22,22,22,36.65,36.65,36.65,22,22,22,47.55,47.55,47.55,22,22,22,34.39,34.39,34.39,44.02,43.02,48.21,47.21,53.23,52.23,49.02,56.62,56.72
