"Name","model_params","best_val_accuracy","_wandb"
"MLconv[R=100]-ResNet101-CIFAR10-25","10298934","79.52",""
"LR[K=75]-ResNet101-CIFAR10-25","10193009","80.67",""
"MLconv[R=200]-ResNet101-CIFAR10-25","20472034","76.43",""
"MLconv[R=300]-ResNet101-CIFAR10-25","30645134","79.44",""
"LR[K=150]-ResNet101-CIFAR10-25","20260184","80.15",""
"LR[K=229]-ResNet101-CIFAR10-25","30864275","80.52",""
"LR-MTL[T=42,lambda_ce=0.70]-ResNet101-CIFAR10-25","29099640","81.63",""
"MTL[T=43]-ResNet101-CIFAR10-25","29938048","80.69",""
"MTL[T=42]-ResNet101-CIFAR10-25","30462328","80.38",""
"MLconv[R=345]-ResNet101-CIFAR10-25","35223029","79.09",""
"LR[K=260]-ResNet101-CIFAR10-25","35025374","82.04",""
"LR-MTL[T=15,lambda_ce=0.70]-ResNet101-CIFAR10-25","33741216","81.52",""
"MTL[T=16]-ResNet101-CIFAR10-25","34656424","81.25",""
"MTL[T=15]-ResNet101-CIFAR10-25","35180704","80.64",""
"LR[K=300]-ResNet101-CIFAR10-25","40394534","81",""
"MLconv[R=400]-ResNet101-CIFAR10-25","40818234","80.29",""
"LR-MTL[T=3,lambda_ce=0.70]-ResNet101-CIFAR10-25","39717458","81.18",""
"MTL[T=4]-ResNet101-CIFAR10-25","38326356","80.97",""
"MTL[T=3]-ResNet101-CIFAR10-25","40423506","80.37",""
"ResNet101-CIFAR10-25","42520650","79.86",""
