"Step","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"1","0.00335","0.00335","0.00335","0","0","0","0","0","0","0.00429","0.00429","0.00429","0","0","0","0","0","0","0.00167","0.00167","0.00167","0.00236","0.00236","0.00236","0.00127","0.00127","0.00127","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0.00031","0.00031","0.00031","0.00827","0.00827","0.00827","0.00002","0.00002","0.00002","0.00428","0.00428","0.00428","0.00581","0.00581","0.00581","0.00013","0.00013","0.00013","0.00253","0.00253","0.00253","0","0","0","0.00073","0.00073","0.00073","0.01684","0.01684","0.01684","0","0","0","0","0","0","0","0","0"
"3","0.0032","0.0032","0.0032","0.00752","0.00752","0.00752","0.00001","0.00001","0.00001","0.00309","0.00309","0.00309","0.01372","0.01372","0.01372","0.00043","0.00043","0.00043","0.00168","0.00168","0.00168","0.00476","0.00476","0.00476","0.00213","0.00213","0.00213","0.06251","0.06251","0.06251","0.00006","0.00006","0.00006","0.01777","0.01777","0.01777","0.0185","0.0185","0.0185"
"4","0.0138","0.0138","0.0138","0.04806","0.04806","0.04806","0.00002","0.00002","0.00002","0","0","0","0.02675","0.02675","0.02675","0","0","0","0.01111","0.01111","0.01111","0.01684","0.01684","0.01684","0.02291","0.02291","0.02291","0.02002","0.02002","0.02002","0.08779","0.08779","0.08779","0.01583","0.01583","0.01583","0.02277","0.02277","0.02277"
"5","0.03379","0.03379","0.03379","0.05574","0.05574","0.05574","0.00017","0.00017","0.00017","0.01354","0.01354","0.01354","0.08942","0.08942","0.08942","0.00015","0.00015","0.00015","0.0402","0.0402","0.0402","0.05795","0.05795","0.05795","0.03822","0.03822","0.03822","0.06341","0.06341","0.06341","0.07507","0.07507","0.07507","0.05903","0.05903","0.05903","0.0563","0.0563","0.0563"
"6","0","0","0","0.06676","0.06676","0.06676","0.00011","0.00011","0.00011","0.03421","0.03421","0.03421","0.03107","0.03107","0.03107","0.00083","0.00083","0.00083","0.05243","0.05243","0.05243","0.03213","0.03213","0.03213","0.02237","0.02237","0.02237","0.05501","0.05501","0.05501","0.08046","0.08046","0.08046","0.09937","0.09937","0.09937","0.10142","0.10142","0.10142"
"7","0.07258","0.07258","0.07258","0.05438","0.05438","0.05438","0.0001","0.0001","0.0001","0.04711","0.04711","0.04711","0.07039","0.07039","0.07039","0","0","0","0.02052","0.02052","0.02052","0.07424","0.07424","0.07424","0.01982","0.01982","0.01982","0.07636","0.07636","0.07636","0.08026","0.08026","0.08026","0.09198","0.09198","0.09198","0.07785","0.07785","0.07785"
"8","0.05769","0.05769","0.05769","0.04102","0.04102","0.04102","0.00006","0.00006","0.00006","0.06433","0.06433","0.06433","0.06955","0.06955","0.06955","0","0","0","0.04537","0.04537","0.04537","0.08106","0.08106","0.08106","0.08087","0.08087","0.08087","0.08759","0.08759","0.08759","0.11412","0.11412","0.11412","0.14738","0.14738","0.14738","0.18737","0.18737","0.18737"
"9","0.0909","0.0909","0.0909","0.05903","0.05903","0.05903","0","0","0","0.0466","0.0466","0.0466","0.08346","0.08346","0.08346","0","0","0","0.0527","0.0527","0.0527","0.06875","0.06875","0.06875","0.10129","0.10129","0.10129","0.08541","0.08541","0.08541","0.10087","0.10087","0.10087","0.15419","0.15419","0.15419","0.14377","0.14377","0.14377"
"10","0.0673","0.0673","0.0673","0.07675","0.07675","0.07675","0","0","0","0.13234","0.13234","0.13234","0.11362","0.11362","0.11362","0.0003","0.0003","0.0003","0.06436","0.06436","0.06436","0.09111","0.09111","0.09111","0.06441","0.06441","0.06441","0.08316","0.08316","0.08316","0.17593","0.17593","0.17593","0.17876","0.17876","0.17876","0.15776","0.15776","0.15776"
