"Step","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"1","0.00032","0.00032","0.00032","0.01359","0.01359","0.01359","0","0","0","0.03334","0.03334","0.03334","0.00239","0.00239","0.00239","0","0","0","0.00016","0.00016","0.00016","0.00871","0.00871","0.00871","0","0","0","0.00778","0.00778","0.00778","0.00039","0.00039","0.00039","0","0","0","0","0","0"
"2","0.0055","0.0055","0.0055","0","0","0","0.00004","0.00004","0.00004","0","0","0","0.03336","0.03336","0.03336","0.00003","0.00003","0.00003","0.00788","0.00788","0.00788","0","0","0","0.00556","0.00556","0.00556","0","0","0","0.00557","0.00557","0.00557","0.00048","0.00048","0.00048","0.00808","0.00808","0.00808"
"3","0.01633","0.01633","0.01633","0.03071","0.03071","0.03071","0.00006","0.00006","0.00006","0.01972","0.01972","0.01972","0.05941","0.05941","0.05941","0.00007","0.00007","0.00007","0.01302","0.01302","0.01302","0.05361","0.05361","0.05361","0.0216","0.0216","0.0216","0.04742","0.04742","0.04742","0.06391","0.06391","0.06391","0.04232","0.04232","0.04232","0.02654","0.02654","0.02654"
"4","0.03341","0.03341","0.03341","0.06804","0.06804","0.06804","0.00008","0.00008","0.00008","0.06013","0.06013","0.06013","0.06027","0.06027","0.06027","0.00016","0.00016","0.00016","0.03548","0.03548","0.03548","0.06618","0.06618","0.06618","0.06962","0.06962","0.06962","0.11659","0.11659","0.11659","0.08103","0.08103","0.08103","0.04984","0.04984","0.04984","0.08585","0.08585","0.08585"
"5","0.04202","0.04202","0.04202","0.0474","0.0474","0.0474","0.00027","0.00027","0.00027","0.04871","0.04871","0.04871","0.06504","0.06504","0.06504","0.00037","0.00037","0.00037","0.09941","0.09941","0.09941","0.06768","0.06768","0.06768","0.06668","0.06668","0.06668","0.06707","0.06707","0.06707","0.08751","0.08751","0.08751","0.11533","0.11533","0.11533","0.09135","0.09135","0.09135"
"6","0.05244","0.05244","0.05244","0.0744","0.0744","0.0744","0.00014","0.00014","0.00014","0.0719","0.0719","0.0719","0.09122","0.09122","0.09122","0","0","0","0.08484","0.08484","0.08484","0.08129","0.08129","0.08129","0.08247","0.08247","0.08247","0.10454","0.10454","0.10454","0.15939","0.15939","0.15939","0.13618","0.13618","0.13618","0.11981","0.11981","0.11981"
"7","0.07832","0.07832","0.07832","0.1306","0.1306","0.1306","0.00062","0.00062","0.00062","0.09487","0.09487","0.09487","0.06711","0.06711","0.06711","0","0","0","0.12099","0.12099","0.12099","0.11739","0.11739","0.11739","0.11296","0.11296","0.11296","0.09488","0.09488","0.09488","0.20063","0.20063","0.20063","0.13139","0.13139","0.13139","0.14667","0.14667","0.14667"
"8","0.08237","0.08237","0.08237","0.13664","0.13664","0.13664","0.00027","0.00027","0.00027","0.09436","0.09436","0.09436","0.13241","0.13241","0.13241","0","0","0","0.12943","0.12943","0.12943","0.14326","0.14326","0.14326","0.11287","0.11287","0.11287","0.11636","0.11636","0.11636","0.16725","0.16725","0.16725","0.16024","0.16024","0.16024","0.16839","0.16839","0.16839"
"9","0.08114","0.08114","0.08114","0.13537","0.13537","0.13537","0","0","0","0.08966","0.08966","0.08966","0.06456","0.06456","0.06456","0","0","0","0.18654","0.18654","0.18654","0.14817","0.14817","0.14817","0.14453","0.14453","0.14453","0.10404","0.10404","0.10404","0.14306","0.14306","0.14306","0.23655","0.23655","0.23655","0.19748","0.19748","0.19748"
"10","0.09503","0.09503","0.09503","0.22068","0.22068","0.22068","0","0","0","0.1336","0.1336","0.1336","0.12305","0.12305","0.12305","0","0","0","0.16295","0.16295","0.16295","0.1454","0.1454","0.1454","0.14752","0.14752","0.14752","0.15349","0.15349","0.15349","0.2379","0.2379","0.2379","0.19546","0.19546","0.19546","0.25077","0.25077","0.25077"
