"Name","model/parameters","metrics/mAP50(B)","_wandb"
"LR[K=180]-YOLO11x-DOTAv1-23","35128657","0.48301955326719886",""
"MLconv[R=300]-YOLO11x-DOTAv1-23","35737237","0.48812855766148455",""
"MTL[T=61]-YOLO11x-DOTAv1-23","35067357","0.39234",""
"LR[K=220]-YOLO11x-DOTAv1-23","39929017","0.4849357473259674",""
"MLconv[R=350]-YOLO11x-DOTAv1-23","39438937","0.475366976236082",""
"MTL[T=60]-YOLO11x-DOTAv1-23","39784349","0.48728",""
"LR[K=265]-YOLO11x-DOTAv1-23","45329422","0.4817241412291871",""
"MLconv[R=430]-YOLO11x-DOTAv1-23","45361657","0.4954499045507549",""
"LR[K=300]-YOLO11x-DOTAv1-23","49529737","0.48670063601032026",""
"MLconv[R=500]-YOLO11x-DOTAv1-23","50544037","0.4802424328857136",""
"MTL[T=17]-YOLO11x-DOTAv1-23","49827613","0.5032614659313975",""
"MTL[T=24]-YOLO11x-DOTAv1-23","45720605","0.5168533100967971",""
"YOLO11x-DOTAv1-23","56891101","0.5033994281254512",""
