"Name","model/parameters","metrics/mAP50(B)","_wandb"
"LR[K=180]-YOLO11x-DOTAv1","35128657","0.51703",""
"MLconv[R=300]-YOLO11x-DOTAv1","35737237","0.52706",""
"MTL[T=61]-YOLO11x-DOTAv1","35067357","0.43828",""
"LR[K=220]-YOLO11x-DOTAv1","39929017","0.5195436175610698",""
"MLconv[R=350]-YOLO11x-DOTAv1","39438937","0.5311053101097022",""
"MTL[T=60]-YOLO11x-DOTAv1","39784349","0.48728",""
"LR[K=265]-YOLO11x-DOTAv1","45329422","0.5093575966093983",""
"MLconv[R=430]-YOLO11x-DOTAv1","45361657","0.5189907711516538",""
"LR[K=300]-YOLO11x-DOTAv1","49529737","0.5171078580018911",""
"MLconv[R=500]-YOLO11x-DOTAv1","50544037","0.5305638530168123",""
"YOLO11x-DOTAv1","56891101","0.5314677714421382",""
"MTL[T=17]-YOLO11x-DOTAv1","49827613","0.5347262545568808",""
"MTL[T=24]-YOLO11x-DOTAv1","45720605","0.5320991843151077",""
