"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=43]-Resnet101-CIFAR10 - _step","MTL[T=43]-Resnet101-CIFAR10 - _step__MIN","MTL[T=43]-Resnet101-CIFAR10 - _step__MAX","MTL[T=43]-Resnet101-CIFAR10 - model_params","MTL[T=43]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=43]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=42]-Resnet101-CIFAR10 - _step","MTL[T=42]-Resnet101-CIFAR10 - _step__MIN","MTL[T=42]-Resnet101-CIFAR10 - _step__MAX","MTL[T=42]-Resnet101-CIFAR10 - model_params","MTL[T=42]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=42]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=4]-Resnet101-CIFAR10 - _step","MTL[T=4]-Resnet101-CIFAR10 - _step__MIN","MTL[T=4]-Resnet101-CIFAR10 - _step__MAX","MTL[T=4]-Resnet101-CIFAR10 - model_params","MTL[T=4]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=4]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=3]-Resnet101-CIFAR10 - _step","MTL[T=3]-Resnet101-CIFAR10 - _step__MIN","MTL[T=3]-Resnet101-CIFAR10 - _step__MAX","MTL[T=3]-Resnet101-CIFAR10 - model_params","MTL[T=3]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=3]-Resnet101-CIFAR10 - model_params__MAX","Resnet101-CIFAR10 - _step","Resnet101-CIFAR10 - _step__MIN","Resnet101-CIFAR10 - _step__MAX","Resnet101-CIFAR10 - model_params","Resnet101-CIFAR10 - model_params__MIN","Resnet101-CIFAR10 - model_params__MAX","MTL[T=16]-Resnet101-CIFAR10 - _step","MTL[T=16]-Resnet101-CIFAR10 - _step__MIN","MTL[T=16]-Resnet101-CIFAR10 - _step__MAX","MTL[T=16]-Resnet101-CIFAR10 - model_params","MTL[T=16]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=16]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=15]-Resnet101-CIFAR10 - _step","MTL[T=15]-Resnet101-CIFAR10 - _step__MIN","MTL[T=15]-Resnet101-CIFAR10 - _step__MAX","MTL[T=15]-Resnet101-CIFAR10 - model_params","MTL[T=15]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=15]-Resnet101-CIFAR10 - model_params__MAX"
"1","2","2","2","36098424","36098424","36098424","1","1","1","29938048","29938048","29938048","1","1","1","30462328","30462328","30462328","2","2","2","39047328","39047328","39047328","2","2","2","41472082","41472082","41472082","1","1","1","38326356","38326356","38326356","1","1","1","40423506","40423506","40423506","1","1","1","42520650","42520650","42520650","1","1","1","34656424","34656424","34656424","1","1","1","35180704","35180704","35180704"
"2","5","5","5","35089272","35089272","35089272","3","3","3","29938048","29938048","29938048","3","3","3","30462328","30462328","30462328","5","5","5","38634656","38634656","38634656","5","5","5","41374802","41374802","41374802","3","3","3","38326356","38326356","38326356","3","3","3","40423506","40423506","40423506","3","3","3","42520650","42520650","42520650","3","3","3","34656424","34656424","34656424","3","3","3","35180704","35180704","35180704"
"3","8","8","8","31495288","31495288","31495288","5","5","5","29938048","29938048","29938048","5","5","5","30462328","30462328","30462328","8","8","8","35014560","35014560","35014560","8","8","8","40061522","40061522","40061522","5","5","5","38326356","38326356","38326356","5","5","5","40423506","40423506","40423506","5","5","5","42520650","42520650","42520650","5","5","5","34656424","34656424","34656424","5","5","5","35180704","35180704","35180704"
"4","11","11","11","31486584","31486584","31486584","7","7","7","29938048","29938048","29938048","7","7","7","30462328","30462328","30462328","11","11","11","35012512","35012512","35012512","11","11","11","40061522","40061522","40061522","7","7","7","38326356","38326356","38326356","7","7","7","40423506","40423506","40423506","7","7","7","42520650","42520650","42520650","7","7","7","34656424","34656424","34656424","7","7","7","35180704","35180704","35180704"
"5","14","14","14","31472504","31472504","31472504","9","9","9","29938048","29938048","29938048","9","9","9","30462328","30462328","30462328","14","14","14","35009184","35009184","35009184","14","14","14","40058962","40058962","40058962","9","9","9","38326356","38326356","38326356","9","9","9","40423506","40423506","40423506","9","9","9","42520650","42520650","42520650","9","9","9","34656424","34656424","34656424","9","9","9","35180704","35180704","35180704"
"6","17","17","17","31466616","31466616","31466616","11","11","11","29938048","29938048","29938048","11","11","11","30462328","30462328","30462328","17","17","17","35005600","35005600","35005600","17","17","17","40056402","40056402","40056402","11","11","11","38326356","38326356","38326356","11","11","11","40423506","40423506","40423506","11","11","11","42520650","42520650","42520650","11","11","11","34656424","34656424","34656424","11","11","11","35180704","35180704","35180704"
"7","20","20","20","31459960","31459960","31459960","13","13","13","29938048","29938048","29938048","13","13","13","30462328","30462328","30462328","20","20","20","34997920","34997920","34997920","20","20","20","40056402","40056402","40056402","13","13","13","38326356","38326356","38326356","13","13","13","40423506","40423506","40423506","13","13","13","42520650","42520650","42520650","13","13","13","34656424","34656424","34656424","13","13","13","35180704","35180704","35180704"
"8","23","23","23","31453816","31453816","31453816","15","15","15","29938048","29938048","29938048","15","15","15","30462328","30462328","30462328","23","23","23","34991264","34991264","34991264","23","23","23","40050258","40050258","40050258","15","15","15","38326356","38326356","38326356","15","15","15","40423506","40423506","40423506","15","15","15","42520650","42520650","42520650","15","15","15","34656424","34656424","34656424","15","15","15","35180704","35180704","35180704"
"9","26","26","26","31450744","31450744","31450744","17","17","17","29938048","29938048","29938048","17","17","17","30462328","30462328","30462328","26","26","26","34987680","34987680","34987680","26","26","26","40047698","40047698","40047698","17","17","17","38326356","38326356","38326356","17","17","17","40423506","40423506","40423506","17","17","17","42520650","42520650","42520650","17","17","17","34656424","34656424","34656424","17","17","17","35180704","35180704","35180704"
"10","29","29","29","31445368","31445368","31445368","19","19","19","29938048","29938048","29938048","19","19","19","30462328","30462328","30462328","29","29","29","34982560","34982560","34982560","29","29","29","40047698","40047698","40047698","19","19","19","38326356","38326356","38326356","19","19","19","40423506","40423506","40423506","19","19","19","42520650","42520650","42520650","19","19","19","34656424","34656424","34656424","19","19","19","35180704","35180704","35180704"
"11","32","32","32","31440248","31440248","31440248","21","21","21","29938048","29938048","29938048","21","21","21","30462328","30462328","30462328","32","32","32","34978976","34978976","34978976","32","32","32","40046674","40046674","40046674","21","21","21","38326356","38326356","38326356","21","21","21","40423506","40423506","40423506","21","21","21","42520650","42520650","42520650","21","21","21","34656424","34656424","34656424","21","21","21","35180704","35180704","35180704"
"12","35","35","35","31428984","31428984","31428984","23","23","23","29938048","29938048","29938048","23","23","23","30462328","30462328","30462328","35","35","35","34976928","34976928","34976928","35","35","35","40046674","40046674","40046674","23","23","23","38326356","38326356","38326356","23","23","23","40423506","40423506","40423506","23","23","23","42520650","42520650","42520650","23","23","23","34656424","34656424","34656424","23","23","23","35180704","35180704","35180704"
"13","38","38","38","31421304","31421304","31421304","25","25","25","29938048","29938048","29938048","25","25","25","30462328","30462328","30462328","38","38","38","34973600","34973600","34973600","38","38","38","40046674","40046674","40046674","25","25","25","38326356","38326356","38326356","25","25","25","40423506","40423506","40423506","25","25","25","42520650","42520650","42520650","25","25","25","34656424","34656424","34656424","25","25","25","35180704","35180704","35180704"
"14","41","41","41","31413112","31413112","31413112","27","27","27","29938048","29938048","29938048","27","27","27","30462328","30462328","30462328","41","41","41","34968736","34968736","34968736","41","41","41","40044626","40044626","40044626","27","27","27","38326356","38326356","38326356","27","27","27","40423506","40423506","40423506","27","27","27","42520650","42520650","42520650","27","27","27","34656424","34656424","34656424","27","27","27","35180704","35180704","35180704"
"15","44","44","44","31404152","31404152","31404152","29","29","29","29938048","29938048","29938048","29","29","29","30462328","30462328","30462328","44","44","44","34968736","34968736","34968736","44","44","44","40044626","40044626","40044626","29","29","29","38326356","38326356","38326356","29","29","29","40423506","40423506","40423506","29","29","29","42520650","42520650","42520650","29","29","29","34656424","34656424","34656424","29","29","29","35180704","35180704","35180704"
"16","47","47","47","31397240","31397240","31397240","31","31","31","29938048","29938048","29938048","31","31","31","30462328","30462328","30462328","47","47","47","34962592","34962592","34962592","47","47","47","40042066","40042066","40042066","31","31","31","38326356","38326356","38326356","31","31","31","40423506","40423506","40423506","31","31","31","42520650","42520650","42520650","31","31","31","34656424","34656424","34656424","31","31","31","35180704","35180704","35180704"
"17","50","50","50","31382648","31382648","31382648","33","33","33","29938048","29938048","29938048","33","33","33","30462328","30462328","30462328","50","50","50","34958240","34958240","34958240","50","50","50","40041042","40041042","40041042","33","33","33","38326356","38326356","38326356","33","33","33","40423506","40423506","40423506","33","33","33","42520650","42520650","42520650","33","33","33","34656424","34656424","34656424","33","33","33","35180704","35180704","35180704"
"18","53","53","53","31376504","31376504","31376504","35","35","35","29938048","29938048","29938048","35","35","35","30462328","30462328","30462328","53","53","53","34951584","34951584","34951584","53","53","53","40037458","40037458","40037458","35","35","35","38326356","38326356","38326356","35","35","35","40423506","40423506","40423506","35","35","35","42520650","42520650","42520650","35","35","35","34656424","34656424","34656424","35","35","35","35180704","35180704","35180704"
"19","56","56","56","31363960","31363960","31363960","37","37","37","29938048","29938048","29938048","37","37","37","30462328","30462328","30462328","56","56","56","34949024","34949024","34949024","56","56","56","40036434","40036434","40036434","37","37","37","38326356","38326356","38326356","37","37","37","40423506","40423506","40423506","37","37","37","42520650","42520650","42520650","37","37","37","34656424","34656424","34656424","37","37","37","35180704","35180704","35180704"
"20","59","59","59","31361400","31361400","31361400","39","39","39","29938048","29938048","29938048","39","39","39","30462328","30462328","30462328","59","59","59","34949024","34949024","34949024","59","59","59","40036434","40036434","40036434","39","39","39","38326356","38326356","38326356","39","39","39","40423506","40423506","40423506","39","39","39","42520650","42520650","42520650","39","39","39","34656424","34656424","34656424","39","39","39","35180704","35180704","35180704"
"21","62","62","62","31353464","31353464","31353464","41","41","41","29938048","29938048","29938048","41","41","41","30462328","30462328","30462328","62","62","62","34945184","34945184","34945184","62","62","62","40034386","40034386","40034386","41","41","41","38326356","38326356","38326356","41","41","41","40423506","40423506","40423506","41","41","41","42520650","42520650","42520650","41","41","41","34656424","34656424","34656424","41","41","41","35180704","35180704","35180704"
