"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"1","2","2","2","36098424","36098424","36098424","2","2","2","39047328","39047328","39047328","2","2","2","41472082","41472082","41472082"
"2","5","5","5","36098424","36098424","36098424","5","5","5","39047328","39047328","39047328","5","5","5","41472082","41472082","41472082"
"3","8","8","8","36098424","36098424","36098424","8","8","8","39047328","39047328","39047328","8","8","8","41472082","41472082","41472082"
"4","11","11","11","36098424","36098424","36098424","11","11","11","39047328","39047328","39047328","11","11","11","41472082","41472082","41472082"
"5","14","14","14","34999928","34999928","34999928","14","14","14","38584480","38584480","38584480","14","14","14","41358930","41358930","41358930"
"6","17","17","17","31976056","31976056","31976056","17","17","17","35614368","35614368","35614368","17","17","17","40222290","40222290","40222290"
"7","20","20","20","31954552","31954552","31954552","20","20","20","35613856","35613856","35613856","20","20","20","40215122","40215122","40215122"
"8","23","23","23","31944312","31944312","31944312","23","23","23","35600032","35600032","35600032","23","23","23","40207442","40207442","40207442"
"9","26","26","26","31922040","31922040","31922040","26","26","26","35579296","35579296","35579296","26","26","26","40200274","40200274","40200274"
"10","29","29","29","31891320","31891320","31891320","29","29","29","35565984","35565984","35565984","29","29","29","40200274","40200274","40200274"
"11","32","32","32","31874424","31874424","31874424","32","32","32","35562912","35562912","35562912","32","32","32","40197714","40197714","40197714"
"12","35","35","35","31859576","31859576","31859576","35","35","35","35546272","35546272","35546272","35","35","35","40194130","40194130","40194130"
"13","38","38","38","31854200","31854200","31854200","38","38","38","35537568","35537568","35537568","38","38","38","40189522","40189522","40189522"
"14","41","41","41","31837304","31837304","31837304","41","41","41","35523488","35523488","35523488","41","41","41","40186962","40186962","40186962"
"15","44","44","44","31816312","31816312","31816312","44","44","44","35511968","35511968","35511968","44","44","44","40184402","40184402","40184402"
"16","47","47","47","31787896","31787896","31787896","47","47","47","35497888","35497888","35497888","47","47","47","40184402","40184402","40184402"
"17","50","50","50","31783032","31783032","31783032","50","50","50","35488672","35488672","35488672","50","50","50","40184402","40184402","40184402"
"18","53","53","53","31765368","31765368","31765368","53","53","53","35479456","35479456","35479456","53","53","53","40184402","40184402","40184402"
"19","56","56","56","31741560","31741560","31741560","56","56","56","35469728","35469728","35469728","56","56","56","40180818","40180818","40180818"
"20","59","59","59","31724920","31724920","31724920","59","59","59","35456928","35456928","35456928","59","59","59","40172114","40172114","40172114"
"21","62","62","62","31715448","31715448","31715448","62","62","62","35443360","35443360","35443360","62","62","62","40169554","40169554","40169554"
"22","65","65","65","31695224","31695224","31695224","65","65","65","35435168","35435168","35435168","65","65","65","40169554","40169554","40169554"
"23","68","68","68","31673720","31673720","31673720","68","68","68","35419808","35419808","35419808","68","68","68","40163410","40163410","40163410"
"24","71","71","71","31657336","31657336","31657336","71","71","71","35410080","35410080","35410080","71","71","71","40163410","40163410","40163410"
"25","74","74","74","31649400","31649400","31649400","74","74","74","35392160","35392160","35392160","74","74","74","40158290","40158290","40158290"
"26","77","77","77","31627384","31627384","31627384","77","77","77","35373984","35373984","35373984","77","77","77","40153170","40153170","40153170"
"27","80","80","80","31609464","31609464","31609464","80","80","80","35364000","35364000","35364000","80","80","80","40150610","40150610","40150610"
"28","83","83","83","31592824","31592824","31592824","83","83","83","35353504","35353504","35353504","83","83","83","40150610","40150610","40150610"
"29","86","86","86","31582328","31582328","31582328","86","86","86","35348384","35348384","35348384","86","86","86","40150610","40150610","40150610"
"30","89","89","89","31564664","31564664","31564664","89","89","89","35337632","35337632","35337632","89","89","89","40145490","40145490","40145490"
