"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX"
"1","2","2","2","36098424","36098424","36098424","2","2","2","39047328","39047328","39047328","2","2","2","41472082","41472082","41472082"
"2","5","5","5","35089272","35089272","35089272","5","5","5","38634656","38634656","38634656","5","5","5","41374802","41374802","41374802"
"3","8","8","8","31495288","31495288","31495288","8","8","8","35014560","35014560","35014560","8","8","8","40061522","40061522","40061522"
"4","11","11","11","31486584","31486584","31486584","11","11","11","35012512","35012512","35012512","11","11","11","40061522","40061522","40061522"
"5","14","14","14","31472504","31472504","31472504","14","14","14","35009184","35009184","35009184","14","14","14","40058962","40058962","40058962"
"6","17","17","17","31466616","31466616","31466616","17","17","17","35005600","35005600","35005600","17","17","17","40056402","40056402","40056402"
"7","20","20","20","31459960","31459960","31459960","20","20","20","34997920","34997920","34997920","20","20","20","40056402","40056402","40056402"
"8","23","23","23","31453816","31453816","31453816","23","23","23","34991264","34991264","34991264","23","23","23","40050258","40050258","40050258"
"9","26","26","26","31450744","31450744","31450744","26","26","26","34987680","34987680","34987680","26","26","26","40047698","40047698","40047698"
"10","29","29","29","31445368","31445368","31445368","29","29","29","34982560","34982560","34982560","29","29","29","40047698","40047698","40047698"
"11","32","32","32","31440248","31440248","31440248","32","32","32","34978976","34978976","34978976","32","32","32","40046674","40046674","40046674"
"12","35","35","35","31428984","31428984","31428984","35","35","35","34976928","34976928","34976928","35","35","35","40046674","40046674","40046674"
"13","38","38","38","31421304","31421304","31421304","38","38","38","34973600","34973600","34973600","38","38","38","40046674","40046674","40046674"
"14","41","41","41","31413112","31413112","31413112","41","41","41","34968736","34968736","34968736","41","41","41","40044626","40044626","40044626"
"15","44","44","44","31404152","31404152","31404152","44","44","44","34968736","34968736","34968736","44","44","44","40044626","40044626","40044626"
"16","47","47","47","31397240","31397240","31397240","47","47","47","34962592","34962592","34962592","47","47","47","40042066","40042066","40042066"
"17","50","50","50","31382648","31382648","31382648","50","50","50","34958240","34958240","34958240","50","50","50","40041042","40041042","40041042"
"18","53","53","53","31376504","31376504","31376504","53","53","53","34951584","34951584","34951584","53","53","53","40037458","40037458","40037458"
"19","56","56","56","31363960","31363960","31363960","56","56","56","34949024","34949024","34949024","56","56","56","40036434","40036434","40036434"
"20","59","59","59","31361400","31361400","31361400","59","59","59","34949024","34949024","34949024","59","59","59","40036434","40036434","40036434"
"21","62","62","62","31353464","31353464","31353464","62","62","62","34945184","34945184","34945184","62","62","62","40034386","40034386","40034386"
"22","65","65","65","31346040","31346040","31346040","65","65","65","34942880","34942880","34942880","65","65","65","40033362","40033362","40033362"
"23","68","68","68","31341688","31341688","31341688","68","68","68","34940320","34940320","34940320","68","68","68","40030802","40030802","40030802"
"24","71","71","71","31330424","31330424","31330424","71","71","71","34936224","34936224","34936224","71","71","71","40030802","40030802","40030802"
"25","74","74","74","31318392","31318392","31318392","74","74","74","34929824","34929824","34929824","74","74","74","40030802","40030802","40030802"
"26","77","77","77","31311992","31311992","31311992","77","77","77","34928032","34928032","34928032","77","77","77","40030802","40030802","40030802"
"27","80","80","80","31308408","31308408","31308408","80","80","80","34924448","34924448","34924448","80","80","80","40030802","40030802","40030802"
"28","83","83","83","31296632","31296632","31296632","83","83","83","34920864","34920864","34920864","83","83","83","40030802","40030802","40030802"
"29","86","86","86","31292280","31292280","31292280","86","86","86","34919840","34919840","34919840","86","86","86","40026194","40026194","40026194"
"30","89","89","89","31283064","31283064","31283064","89","89","89","34916768","34916768","34916768","89","89","89","40026194","40026194","40026194"
"31","92","92","92","31268472","31268472","31268472","92","92","92","34909600","34909600","34909600","92","92","92","40026194","40026194","40026194"
"32","95","95","95","31249784","31249784","31249784","95","95","95","34906784","34906784","34906784","95","95","95","40026194","40026194","40026194"
"33","98","98","98","31239032","31239032","31239032","98","98","98","34904224","34904224","34904224","98","98","98","40023634","40023634","40023634"
"34","101","101","101","31233912","31233912","31233912","101","101","101","34902176","34902176","34902176","101","101","101","40022610","40022610","40022610"
"35","104","104","104","31226488","31226488","31226488","104","104","104","34899104","34899104","34899104","104","104","104","40020050","40020050","40020050"
"36","107","107","107","31220856","31220856","31220856","107","107","107","34888352","34888352","34888352","107","107","107","40020050","40020050","40020050"
"37","110","110","110","31210616","31210616","31210616","110","110","110","34886048","34886048","34886048","110","110","110","40020050","40020050","40020050"
"38","113","113","113","31205496","31205496","31205496","113","113","113","34884000","34884000","34884000","113","113","113","40017490","40017490","40017490"
"39","116","116","116","31198072","31198072","31198072","116","116","116","34878624","34878624","34878624","116","116","116","40014930","40014930","40014930"
"40","119","119","119","31191160","31191160","31191160","119","119","119","34872480","34872480","34872480","119","119","119","40014930","40014930","40014930"
"41","122","122","122","31183992","31183992","31183992","122","122","122","34865824","34865824","34865824","122","122","122","40013906","40013906","40013906"
