"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX"
"1","0","0","0","14336","14336","14336","0","0","0","7424","7424","7424","0","0","0","2048","2048","2048"
"2","3","3","3","14336","14336","14336","3","3","3","7424","7424","7424","3","3","3","2048","2048","2048"
"3","6","6","6","14336","14336","14336","6","6","6","7424","7424","7424","6","6","6","2048","2048","2048"
"4","9","9","9","14336","14336","14336","9","9","9","7424","7424","7424","9","9","9","2048","2048","2048"
"5","12","12","12","13283","13283","13283","12","12","12","7068","7068","7068","12","12","12","1984","1984","1984"
"6","15","15","15","12189","12189","12189","15","15","15","5995","5995","5995","15","15","15","1540","1540","1540"
"7","18","18","18","12173","12173","12173","18","18","18","5994","5994","5994","18","18","18","1536","1536","1536"
"8","21","21","21","12163","12163","12163","21","21","21","5987","5987","5987","21","21","21","1533","1533","1533"
"9","24","24","24","12150","12150","12150","24","24","24","5979","5979","5979","24","24","24","1529","1529","1529"
"10","27","27","27","12137","12137","12137","27","27","27","5974","5974","5974","27","27","27","1529","1529","1529"
"11","30","30","30","12127","12127","12127","30","30","30","5972","5972","5972","30","30","30","1528","1528","1528"
"12","33","33","33","12119","12119","12119","33","33","33","5965","5965","5965","33","33","33","1526","1526","1526"
"13","36","36","36","12114","12114","12114","36","36","36","5961","5961","5961","36","36","36","1523","1523","1523"
"14","39","39","39","12102","12102","12102","39","39","39","5954","5954","5954","39","39","39","1522","1522","1522"
"15","42","42","42","12093","12093","12093","42","42","42","5948","5948","5948","42","42","42","1521","1521","1521"
"16","45","45","45","12077","12077","12077","45","45","45","5941","5941","5941","45","45","45","1521","1521","1521"
"17","48","48","48","12074","12074","12074","48","48","48","5937","5937","5937","48","48","48","1521","1521","1521"
"18","51","51","51","12063","12063","12063","51","51","51","5931","5931","5931","51","51","51","1521","1521","1521"
"19","54","54","54","12049","12049","12049","54","54","54","5927","5927","5927","54","54","54","1519","1519","1519"
"20","57","57","57","12038","12038","12038","57","57","57","5921","5921","5921","57","57","57","1515","1515","1515"
"21","60","60","60","12033","12033","12033","60","60","60","5913","5913","5913","60","60","60","1514","1514","1514"
"22","63","63","63","12022","12022","12022","63","63","63","5909","5909","5909","63","63","63","1514","1514","1514"
"23","66","66","66","12009","12009","12009","66","66","66","5902","5902","5902","66","66","66","1511","1511","1511"
"24","69","69","69","11999","11999","11999","69","69","69","5898","5898","5898","69","69","69","1511","1511","1511"
"25","72","72","72","11993","11993","11993","72","72","72","5890","5890","5890","72","72","72","1509","1509","1509"
"26","75","75","75","11982","11982","11982","75","75","75","5881","5881","5881","75","75","75","1507","1507","1507"
"27","78","78","78","11973","11973","11973","78","78","78","5875","5875","5875","78","78","78","1506","1506","1506"
"28","81","81","81","11961","11961","11961","81","81","81","5870","5870","5870","81","81","81","1506","1506","1506"
"29","84","84","84","11952","11952","11952","84","84","84","5868","5868","5868","84","84","84","1506","1506","1506"
