"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX"
"1","0","0","0","14336","14336","14336","0","0","0","7424","7424","7424","0","0","0","2048","2048","2048"
"2","3","3","3","13359","13359","13359","3","3","3","7105","7105","7105","3","3","3","1992","1992","1992"
"3","6","6","6","12057","12057","12057","6","6","6","5796","5796","5796","6","6","6","1479","1479","1479"
"4","9","9","9","12049","12049","12049","9","9","9","5793","5793","5793","9","9","9","1479","1479","1479"
"5","12","12","12","12039","12039","12039","12","12","12","5790","5790","5790","12","12","12","1478","1478","1478"
"6","15","15","15","12035","12035","12035","15","15","15","5788","5788","5788","15","15","15","1477","1477","1477"
"7","18","18","18","12028","12028","12028","18","18","18","5782","5782","5782","18","18","18","1477","1477","1477"
"8","21","21","21","12021","12021","12021","21","21","21","5778","5778","5778","21","21","21","1474","1474","1474"
"9","24","24","24","12017","12017","12017","24","24","24","5776","5776","5776","24","24","24","1473","1473","1473"
"10","27","27","27","12011","12011","12011","27","27","27","5774","5774","5774","27","27","27","1473","1473","1473"
"11","30","30","30","12007","12007","12007","30","30","30","5771","5771","5771","30","30","30","1472","1472","1472"
"12","33","33","33","12000","12000","12000","33","33","33","5769","5769","5769","33","33","33","1472","1472","1472"
"13","36","36","36","11993","11993","11993","36","36","36","5766","5766","5766","36","36","36","1472","1472","1472"
"14","39","39","39","11986","11986","11986","39","39","39","5761","5761","5761","39","39","39","1470","1470","1470"
"15","42","42","42","11979","11979","11979","42","42","42","5761","5761","5761","42","42","42","1470","1470","1470"
"16","45","45","45","11972","11972","11972","45","45","45","5758","5758","5758","45","45","45","1469","1469","1469"
"17","48","48","48","11961","11961","11961","48","48","48","5755","5755","5755","48","48","48","1468","1468","1468"
"18","51","51","51","11956","11956","11956","51","51","51","5750","5750","5750","51","51","51","1466","1466","1466"
"19","54","54","54","11946","11946","11946","54","54","54","5749","5749","5749","54","54","54","1465","1465","1465"
"20","57","57","57","11942","11942","11942","57","57","57","5749","5749","5749","57","57","57","1465","1465","1465"
"21","60","60","60","11936","11936","11936","60","60","60","5747","5747","5747","60","60","60","1463","1463","1463"
"22","63","63","63","11929","11929","11929","63","63","63","5745","5745","5745","63","63","63","1462","1462","1462"
"23","66","66","66","11925","11925","11925","66","66","66","5743","5743","5743","66","66","66","1461","1461","1461"
"24","69","69","69","11915","11915","11915","69","69","69","5740","5740","5740","69","69","69","1461","1461","1461"
"25","72","72","72","11909","11909","11909","72","72","72","5736","5736","5736","72","72","72","1461","1461","1461"
"26","75","75","75","11903","11903","11903","75","75","75","5734","5734","5734","75","75","75","1461","1461","1461"
"27","78","78","78","11899","11899","11899","78","78","78","5732","5732","5732","78","78","78","1461","1461","1461"
"28","81","81","81","11889","11889","11889","81","81","81","5729","5729","5729","81","81","81","1461","1461","1461"
"29","84","84","84","11886","11886","11886","84","84","84","5728","5728","5728","84","84","84","1458","1458","1458"
"30","87","87","87","11878","11878","11878","87","87","87","5725","5725","5725","87","87","87","1458","1458","1458"
"31","90","90","90","11869","11869","11869","90","90","90","5718","5718","5718","90","90","90","1458","1458","1458"
"32","93","93","93","11855","11855","11855","93","93","93","5716","5716","5716","93","93","93","1458","1458","1458"
"33","96","96","96","11846","11846","11846","96","96","96","5715","5715","5715","96","96","96","1457","1457","1457"
"34","99","99","99","11840","11840","11840","99","99","99","5713","5713","5713","99","99","99","1456","1456","1456"
"35","102","102","102","11835","11835","11835","102","102","102","5710","5710","5710","102","102","102","1455","1455","1455"
"36","105","105","105","11831","11831","11831","105","105","105","5703","5703","5703","105","105","105","1455","1455","1455"
"37","108","108","108","11822","11822","11822","108","108","108","5701","5701","5701","108","108","108","1455","1455","1455"
"38","111","111","111","11817","11817","11817","111","111","111","5699","5699","5699","111","111","111","1454","1454","1454"
"39","114","114","114","11810","11810","11810","114","114","114","5696","5696","5696","114","114","114","1453","1453","1453"
"40","117","117","117","11803","11803","11803","117","117","117","5693","5693","5693","117","117","117","1453","1453","1453"
"41","120","120","120","11796","11796","11796","120","120","120","5688","5688","5688","120","120","120","1452","1452","1452"
"42","123","123","123","11785","11785","11785","123","123","123","5685","5685","5685","123","123","123","1452","1452","1452"
"43","126","126","126","11779","11779","11779","126","126","126","5680","5680","5680","126","126","126","1452","1452","1452"
"44","129","129","129","11768","11768","11768","129","129","129","5676","5676","5676","129","129","129","1450","1450","1450"
"45","132","132","132","11763","11763","11763","132","132","132","5675","5675","5675","132","132","132","1450","1450","1450"
"46","135","135","135","11757","11757","11757","135","135","135","5674","5674","5674","135","135","135","1450","1450","1450"
"47","138","138","138","11751","11751","11751","138","138","138","5667","5667","5667","138","138","138","1450","1450","1450"
"48","141","141","141","11745","11745","11745","141","141","141","5665","5665","5665","141","141","141","1449","1449","1449"
"49","144","144","144","11740","11740","11740","144","144","144","5660","5660","5660","144","144","144","1449","1449","1449"
"50","147","147","147","11733","11733","11733","147","147","147","5657","5657","5657","147","147","147","1449","1449","1449"
"51","150","150","150","11729","11729","11729","150","150","150","5654","5654","5654","150","150","150","1448","1448","1448"
"52","153","153","153","11722","11722","11722","153","153","153","5649","5649","5649","153","153","153","1447","1447","1447"
"53","156","156","156","11716","11716","11716","156","156","156","5646","5646","5646","156","156","156","1447","1447","1447"
"54","159","159","159","11708","11708","11708","159","159","159","5641","5641","5641","159","159","159","1445","1445","1445"
"55","162","162","162","11695","11695","11695","162","162","162","5637","5637","5637","162","162","162","1445","1445","1445"
"56","165","165","165","11685","11685","11685","165","165","165","5634","5634","5634","165","165","165","1443","1443","1443"
"57","168","168","168","11680","11680","11680","168","168","168","5631","5631","5631","168","168","168","1443","1443","1443"
"58","171","171","171","11674","11674","11674","171","171","171","5627","5627","5627","171","171","171","1441","1441","1441"
"59","174","174","174","11663","11663","11663","174","174","174","5626","5626","5626","174","174","174","1441","1441","1441"
"60","177","177","177","11654","11654","11654","177","177","177","5623","5623","5623","177","177","177","1441","1441","1441"
"61","180","180","180","11642","11642","11642","180","180","180","5618","5618","5618","180","180","180","1438","1438","1438"
"62","183","183","183","11634","11634","11634","183","183","183","5612","5612","5612","183","183","183","1437","1437","1437"
"63","186","186","186","11622","11622","11622","186","186","186","5606","5606","5606","186","186","186","1434","1434","1434"
"64","189","189","189","11613","11613","11613","189","189","189","5605","5605","5605","189","189","189","1434","1434","1434"
"65","192","192","192","11604","11604","11604","192","192","192","5602","5602","5602","192","192","192","1433","1433","1433"
"66","195","195","195","11591","11591","11591","195","195","195","5598","5598","5598","195","195","195","1432","1432","1432"
"67","198","198","198","11583","11583","11583","198","198","198","5594","5594","5594","198","198","198","1429","1429","1429"
"68","201","201","201","11570","11570","11570","201","201","201","5591","5591","5591","201","201","201","1429","1429","1429"
"69","204","204","204","11565","11565","11565","204","204","204","5589","5589","5589","204","204","204","1429","1429","1429"
"70","207","207","207","11558","11558","11558","207","207","207","5584","5584","5584","207","207","207","1428","1428","1428"
"71","210","210","210","11550","11550","11550","210","210","210","5579","5579","5579","210","210","210","1428","1428","1428"
"72","213","213","213","11541","11541","11541","213","213","213","5576","5576","5576","213","213","213","1427","1427","1427"
"73","216","216","216","11532","11532","11532","216","216","216","5572","5572","5572","216","216","216","1425","1425","1425"
"74","219","219","219","11522","11522","11522","219","219","219","5569","5569","5569","219","219","219","1425","1425","1425"
"75","222","222","222","11517","11517","11517","222","222","222","5568","5568","5568","222","222","222","1422","1422","1422"
"76","225","225","225","11507","11507","11507","225","225","225","5562","5562","5562","225","225","225","1422","1422","1422"
"77","228","228","228","11500","11500","11500","228","228","228","5561","5561","5561","228","228","228","1422","1422","1422"
"78","231","231","231","11489","11489","11489","231","231","231","5557","5557","5557","231","231","231","1421","1421","1421"
"79","234","234","234","11485","11485","11485","234","234","234","5553","5553","5553","234","234","234","1421","1421","1421"
"80","237","237","237","11482","11482","11482","237","237","237","5551","5551","5551","237","237","237","1418","1418","1418"
"81","240","240","240","11470","11470","11470","240","240","240","5547","5547","5547","240","240","240","1417","1417","1417"
"82","243","243","243","11461","11461","11461","243","243","243","5540","5540","5540","243","243","243","1416","1416","1416"
"83","246","246","246","11449","11449","11449","246","246","246","5534","5534","5534","246","246","246","1416","1416","1416"
"84","249","249","249","11441","11441","11441","249","249","249","5526","5526","5526","249","249","249","1416","1416","1416"
"85","252","252","252","11426","11426","11426","252","252","252","5519","5519","5519","252","252","252","1415","1415","1415"
"86","255","255","255","11415","11415","11415","255","255","255","5518","5518","5518","255","255","255","1411","1411","1411"
"87","258","258","258","11407","11407","11407","258","258","258","5512","5512","5512","258","258","258","1411","1411","1411"
"88","261","261","261","11397","11397","11397","261","261","261","5508","5508","5508","261","261","261","1411","1411","1411"
"89","264","264","264","11391","11391","11391","264","264","264","5504","5504","5504","264","264","264","1411","1411","1411"
"90","267","267","267","11384","11384","11384","267","267","267","5499","5499","5499","267","267","267","1408","1408","1408"
"91","270","270","270","11376","11376","11376","270","270","270","5492","5492","5492","270","270","270","1407","1407","1407"
"92","273","273","273","11362","11362","11362","273","273","273","5484","5484","5484","273","273","273","1407","1407","1407"
"93","276","276","276","11353","11353","11353","276","276","276","5474","5474","5474","276","276","276","1406","1406","1406"
"94","279","279","279","11345","11345","11345","279","279","279","5467","5467","5467","279","279","279","1402","1402","1402"
"95","282","282","282","11335","11335","11335","282","282","282","5464","5464","5464","282","282","282","1401","1401","1401"
"96","285","285","285","11329","11329","11329","285","285","285","5459","5459","5459","285","285","285","1401","1401","1401"
"97","288","288","288","11320","11320","11320","288","288","288","5455","5455","5455","288","288","288","1400","1400","1400"
"98","291","291","291","11316","11316","11316","291","291","291","5450","5450","5450","291","291","291","1398","1398","1398"
"99","294","294","294","11309","11309","11309","294","294","294","5447","5447","5447","294","294","294","1398","1398","1398"
"100","297","297","297","11296","11296","11296","297","297","297","5440","5440","5440","297","297","297","1397","1397","1397"
"101","300","300","300","11288","11288","11288","300","300","300","5432","5432","5432","300","300","300","1395","1395","1395"
"102","303","303","303","11276","11276","11276","303","303","303","5428","5428","5428","303","303","303","1394","1394","1394"
"103","306","306","306","11269","11269","11269","306","306","306","5422","5422","5422","306","306","306","1394","1394","1394"
"104","309","309","309","11259","11259","11259","309","309","309","5421","5421","5421","309","309","309","1394","1394","1394"
